"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2019-04-01 00:00:00";-0.2;0.1;-0.4
"2019-04-01 01:00:00";0;0.3;-0.6
"2019-04-01 02:00:00";-0.2;0.1;-0.6
"2019-04-01 03:00:00";-0.3;0;-1.2
"2019-04-01 04:00:00";-1.9;-1;-2.4
"2019-04-01 05:00:00";-2.5;-2.4;-2.9
"2019-04-01 06:00:00";-2.3;-1.8;-2.7
"2019-04-01 07:00:00";-0.9;0.3;-1.9
"2019-04-01 08:00:00";1.7;3.2;0.2
"2019-04-01 09:00:00";4.4;5;3.3
"2019-04-01 10:00:00";5.1;5.9;4.5
"2019-04-01 11:00:00";5.7;6.2;5.1
"2019-04-01 12:00:00";6.5;7.1;6
"2019-04-01 13:00:00";7.3;8;6.6
"2019-04-01 14:00:00";7.7;8.2;7.3
"2019-04-01 15:00:00";7.9;8.3;7.6
"2019-04-01 16:00:00";7.9;8.2;7.5
"2019-04-01 17:00:00";7.1;8.1;6.7
"2019-04-01 18:00:00";6.3;6.8;5.5
"2019-04-01 19:00:00";4.6;5.5;3.6
"2019-04-01 20:00:00";3.4;3.9;2.7
"2019-04-01 21:00:00";2.2;2.9;1.6
"2019-04-01 22:00:00";1.1;1.7;0.5
"2019-04-01 23:00:00";0.7;1;0.5
"2019-04-02 00:00:00";0.3;0.6;0.1
"2019-04-02 01:00:00";0.4;1.2;0.1
"2019-04-02 02:00:00";1.2;1.4;0.9
"2019-04-02 03:00:00";1;1.1;0.9
"2019-04-02 04:00:00";1;1.2;0.8
"2019-04-02 05:00:00";1.2;1.4;1
"2019-04-02 06:00:00";2;2.6;1.3
"2019-04-02 07:00:00";3.4;4.1;2.5
"2019-04-02 08:00:00";4.9;5.6;4.1
"2019-04-02 09:00:00";6.3;7.3;5.6
"2019-04-02 10:00:00";7.9;8.6;7.1
"2019-04-02 11:00:00";9.1;9.8;8.3
"2019-04-02 12:00:00";10.4;11.2;9.6
"2019-04-02 13:00:00";11.4;11.8;10.9
"2019-04-02 14:00:00";11.9;12.5;11.2
"2019-04-02 15:00:00";11;11.5;10.2
"2019-04-02 16:00:00";9.5;10.2;8.7
