"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2019-06-01 00:00:00";12.6;12.8;12.5
"2019-06-01 01:00:00";12.4;12.6;12.3
"2019-06-01 02:00:00";12.5;12.6;12.3
"2019-06-01 03:00:00";12.6;12.7;12.4
"2019-06-01 04:00:00";12.6;12.9;12.5
"2019-06-01 05:00:00";13.2;13.6;12.8
"2019-06-01 06:00:00";13.7;13.9;13.5
"2019-06-01 07:00:00";13.8;13.9;13.6
"2019-06-01 08:00:00";13.9;14.3;13.6
"2019-06-01 09:00:00";13.4;13.8;12.9
"2019-06-01 10:00:00";12.5;12.8;12.3
"2019-06-01 11:00:00";12.1;12.4;11.8
"2019-06-01 12:00:00";12.4;12.7;12
"2019-06-01 13:00:00";12.8;13.6;12.2
"2019-06-01 14:00:00";13.9;14.4;13.3
"2019-06-01 15:00:00";14.1;14.6;13.7
"2019-06-01 16:00:00";14.5;15.1;14.1
"2019-06-01 17:00:00";14.1;15;13.5
"2019-06-01 18:00:00";13.3;14.3;12.1
"2019-06-01 19:00:00";12;12.6;11.5
"2019-06-01 20:00:00";11.3;11.6;10.9
"2019-06-01 21:00:00";10.8;11;10.3
"2019-06-01 22:00:00";10.5;10.7;10.4
"2019-06-01 23:00:00";10.5;10.6;10.4
"2019-06-02 00:00:00";10.5;10.7;10.3
"2019-06-02 01:00:00";10.4;10.6;10.3
"2019-06-02 02:00:00";10.2;10.4;9.9
"2019-06-02 03:00:00";9.8;10;9.6
"2019-06-02 04:00:00";10.1;10.3;9.9
"2019-06-02 05:00:00";10.4;10.5;10.2
"2019-06-02 06:00:00";10.8;11.3;10.4
"2019-06-02 07:00:00";12;12.7;11.3
"2019-06-02 08:00:00";13.3;14;12.6
"2019-06-02 09:00:00";14.8;15.2;14
"2019-06-02 10:00:00";16.2;17.5;15.1
"2019-06-02 11:00:00";17.9;18.8;17.1
"2019-06-02 12:00:00";19.6;20.5;18.8
"2019-06-02 13:00:00";20.6;21.3;20
"2019-06-02 14:00:00";21;21.4;20.3
"2019-06-02 15:00:00";21.3;21.5;21
"2019-06-02 16:00:00";22;22.3;21.4
"2019-06-02 17:00:00";22.1;22.3;21.9
"2019-06-02 18:00:00";22;22.2;21.9
"2019-06-02 19:00:00";21.5;22.1;20.3
"2019-06-02 20:00:00";19.6;20.3;18.5
"2019-06-02 21:00:00";17.7;18.6;16.9
"2019-06-02 22:00:00";16.8;17.1;16.6
"2019-06-02 23:00:00";16.4;16.7;16.2
"2019-06-03 00:00:00";16.5;16.7;16.3
"2019-06-03 01:00:00";17.3;18;16.6
"2019-06-03 02:00:00";16.6;16.9;16.3
"2019-06-03 03:00:00";16.2;16.9;15.5
"2019-06-03 04:00:00";15.6;15.8;15.5
"2019-06-03 05:00:00";16.1;16.4;15.7
"2019-06-03 06:00:00";16.1;16.3;15.9
"2019-06-03 07:00:00";16.3;16.7;15.9
"2019-06-03 08:00:00";17;17.7;16.2
"2019-06-03 09:00:00";18.5;19.3;17.5
"2019-06-03 10:00:00";17.8;18.3;17.2
"2019-06-03 11:00:00";16.8;17.6;15.8
"2019-06-03 12:00:00";15.6;16.3;15.1
"2019-06-03 13:00:00";15.4;15.8;15.2
"2019-06-03 14:00:00";16.1;16.6;15.6
"2019-06-03 15:00:00";16.6;17.1;16.2
"2019-06-03 16:00:00";15.8;16.6;15
"2019-06-03 17:00:00";15;15.6;14.6
"2019-06-03 18:00:00";14.6;14.8;14.3
"2019-06-03 19:00:00";13.6;14.3;13
"2019-06-03 20:00:00";12.4;13.1;12
"2019-06-03 21:00:00";11.9;12.2;11.2
"2019-06-03 22:00:00";10.9;11.3;10.6
"2019-06-03 23:00:00";10.6;11;10.3
"2019-06-04 00:00:00";10.2;10.7;9.7
"2019-06-04 01:00:00";9.6;10.1;8.7
"2019-06-04 02:00:00";8.6;8.8;8.3
"2019-06-04 03:00:00";8.1;8.4;7.8
"2019-06-04 04:00:00";8;8.2;7.7
"2019-06-04 05:00:00";8.4;8.8;8.1
"2019-06-04 06:00:00";9.3;10.1;8.6
"2019-06-04 07:00:00";10.5;11.7;9.7
"2019-06-04 08:00:00";13.6;14.9;11.5
"2019-06-04 09:00:00";15.4;16.4;14.7
"2019-06-04 10:00:00";16.4;17;15.9
"2019-06-04 11:00:00";17.4;18.1;16.1
"2019-06-04 12:00:00";18;18.7;17.3
"2019-06-04 13:00:00";18.6;19.4;17.9
"2019-06-04 14:00:00";19.1;19.6;18.6
"2019-06-04 15:00:00";19.2;19.6;18.9
"2019-06-04 16:00:00";19.1;19.4;18.8
"2019-06-04 17:00:00";19.2;19.5;18.6
"2019-06-04 18:00:00";18.4;19.2;16.9
"2019-06-04 19:00:00";16.6;17;16.3
"2019-06-04 20:00:00";15.4;16.4;14.6
"2019-06-04 21:00:00";13.9;14.7;13.4
"2019-06-04 22:00:00";13.4;13.8;12.9
"2019-06-04 23:00:00";13;13.2;12.8
"2019-06-05 00:00:00";13.1;13.2;12.9
"2019-06-05 01:00:00";12.7;13.1;12
"2019-06-05 02:00:00";12.1;12.6;11.5
"2019-06-05 03:00:00";11.8;12.2;11.5
"2019-06-05 04:00:00";12.2;12.7;11.9
"2019-06-05 05:00:00";13.3;14.2;12.6
"2019-06-05 06:00:00";15.4;16.7;14.2
"2019-06-05 07:00:00";17.2;17.7;16.7
"2019-06-05 08:00:00";17.3;17.6;16.9
"2019-06-05 09:00:00";16.5;17.1;16.1
"2019-06-05 10:00:00";17;17.8;16.5
"2019-06-05 11:00:00";18.2;18.8;17.5
"2019-06-05 12:00:00";18.8;20;18.2
"2019-06-05 13:00:00";20.2;20.7;19.7
"2019-06-05 14:00:00";20.8;21.2;20.4
"2019-06-05 15:00:00";21.2;21.9;20.7
"2019-06-05 16:00:00";20.9;21.9;20.4
"2019-06-05 17:00:00";19.8;20.6;18.5
"2019-06-05 18:00:00";17.4;18.5;16.2
"2019-06-05 19:00:00";16.2;16.5;15.9
"2019-06-05 20:00:00";15.4;16;14.9
"2019-06-05 21:00:00";14.7;14.9;14.6
"2019-06-05 22:00:00";14.3;14.7;14
"2019-06-05 23:00:00";14;14.1;13.9
"2019-06-06 00:00:00";13.9;14;13.9
"2019-06-06 01:00:00";14.5;15.1;14
"2019-06-06 02:00:00";14.7;15;14.4
"2019-06-06 03:00:00";14.3;14.5;14.1
"2019-06-06 04:00:00";14.4;15;14.1
"2019-06-06 05:00:00";15.7;16.7;15
"2019-06-06 06:00:00";17.8;18.6;16.7
"2019-06-06 07:00:00";19.7;21.1;18.4
"2019-06-06 08:00:00";22.1;23.2;21.1
"2019-06-06 09:00:00";23.3;23.7;22.9
"2019-06-06 10:00:00";23.5;24.1;23
"2019-06-06 11:00:00";23;24.1;22.1
"2019-06-06 12:00:00";21.5;22.9;20
"2019-06-06 13:00:00";17.9;20;17.2
"2019-06-06 14:00:00";17.5;17.9;16.8
"2019-06-06 15:00:00";16;16.8;15.4
"2019-06-06 16:00:00";16;16.3;15.8
"2019-06-06 17:00:00";15.9;16.4;15.3
"2019-06-06 18:00:00";14.4;15.4;13.5
"2019-06-06 19:00:00";12.6;13.6;12.2
"2019-06-06 20:00:00";12.1;12.3;11.8
"2019-06-06 21:00:00";11.6;12;11.3
"2019-06-06 22:00:00";11;11.4;10.6
"2019-06-06 23:00:00";10.4;10.7;10.1
"2019-06-07 00:00:00";10.2;10.4;9.9
"2019-06-07 01:00:00";10.5;10.7;10.3
"2019-06-07 02:00:00";10.4;10.6;10.2
"2019-06-07 03:00:00";9.8;10.3;9.4
"2019-06-07 04:00:00";9.8;10.2;9.4
"2019-06-07 05:00:00";10.3;11.2;9.9
"2019-06-07 06:00:00";11.6;12;11.1
"2019-06-07 07:00:00";12.9;13.8;11.7
"2019-06-07 08:00:00";14.5;15.2;13.6
"2019-06-07 09:00:00";15.4;16.1;14.8
"2019-06-07 10:00:00";16.4;17.5;15.6
"2019-06-07 11:00:00";17.2;17.9;16.4
"2019-06-07 12:00:00";17.5;18.1;17.2
"2019-06-07 13:00:00";17.8;18.2;17.1
"2019-06-07 14:00:00";17.7;18.4;17.1
"2019-06-07 15:00:00";17.3;17.9;16.9
"2019-06-07 16:00:00";17.5;18.1;16.8
"2019-06-07 17:00:00";17.1;17.5;16.6
"2019-06-07 18:00:00";16.8;17.1;16.4
"2019-06-07 19:00:00";15.9;16.8;15.2
"2019-06-07 20:00:00";15.3;16.1;14.2
"2019-06-07 21:00:00";13.9;14.4;13.5
"2019-06-07 22:00:00";13.1;13.5;12.7
"2019-06-07 23:00:00";12.4;12.9;11.8
"2019-06-08 00:00:00";12.8;13.2;12.2
"2019-06-08 01:00:00";13;13.3;12.8
"2019-06-08 02:00:00";13.5;13.9;13.1
"2019-06-08 03:00:00";14.6;15.1;13.9
"2019-06-08 04:00:00";14.9;15.2;14.7
"2019-06-08 05:00:00";14.9;15;14.7
"2019-06-08 06:00:00";14.9;15.4;14.6
"2019-06-08 07:00:00";15.5;16.1;15.1
"2019-06-08 08:00:00";15.1;16.2;14
"2019-06-08 09:00:00";14.5;14.9;14.1
"2019-06-08 10:00:00";15;16;13.7
"2019-06-08 11:00:00";14.9;15.8;13.1
"2019-06-08 12:00:00";14.4;15.7;13
"2019-06-08 13:00:00";15.1;16.1;14.1
"2019-06-08 14:00:00";14.3;15.4;12.8
"2019-06-08 15:00:00";12.8;13.5;12.3
"2019-06-08 16:00:00";12.7;13;12.5
"2019-06-08 17:00:00";12.8;13;12.6
"2019-06-08 18:00:00";12.2;12.7;12
"2019-06-08 19:00:00";12.1;12.3;11.7
"2019-06-08 20:00:00";11.7;12.3;11.4
"2019-06-08 21:00:00";11.5;11.8;11.3
"2019-06-08 22:00:00";11.6;11.7;11.5
"2019-06-08 23:00:00";11.7;11.9;11.5
"2019-06-09 00:00:00";11.8;12;11.7
"2019-06-09 01:00:00";11.4;12;11
"2019-06-09 02:00:00";11.1;11.3;11
"2019-06-09 03:00:00";11;11.1;10.8
"2019-06-09 04:00:00";11.4;12;11
"2019-06-09 05:00:00";11.7;12;11.6
"2019-06-09 06:00:00";11.7;11.9;11.6
"2019-06-09 07:00:00";11.6;11.8;11.2
"2019-06-09 08:00:00";11.8;12.6;11.4
"2019-06-09 09:00:00";12.8;13.3;12.4
"2019-06-09 10:00:00";13.9;14.7;13.1
"2019-06-09 11:00:00";15.2;15.9;14.6
"2019-06-09 12:00:00";15.4;15.9;15
"2019-06-09 13:00:00";15.4;16.2;14.6
"2019-06-09 14:00:00";15.5;16.5;14.8
"2019-06-09 15:00:00";15.2;15.8;14.6
"2019-06-09 16:00:00";14.8;15.3;14.4
"2019-06-09 17:00:00";15.2;15.7;14.7
"2019-06-09 18:00:00";14.7;15.1;14.3
"2019-06-09 19:00:00";13.7;14.5;13
"2019-06-09 20:00:00";12;13;11.2
"2019-06-09 21:00:00";10.8;11.4;10.3
"2019-06-09 22:00:00";10;10.4;9.6
"2019-06-09 23:00:00";9;9.6;8.2
"2019-06-10 00:00:00";8.3;8.9;7.8
"2019-06-10 01:00:00";7.5;8.1;7
"2019-06-10 02:00:00";6.8;7.3;6.2
"2019-06-10 03:00:00";7.1;8.9;5.8
"2019-06-10 04:00:00";5.8;6.2;5.4
"2019-06-10 05:00:00";6.7;8;6
"2019-06-10 06:00:00";9.6;10.5;8
"2019-06-10 07:00:00";11;11.8;10.4
"2019-06-10 08:00:00";13.6;14.4;11.6
"2019-06-10 09:00:00";15;15.6;14.2
"2019-06-10 10:00:00";15.7;16.2;15
"2019-06-10 11:00:00";16.6;17.2;16
"2019-06-10 12:00:00";16.9;17.3;16.4
"2019-06-10 13:00:00";17.4;18.3;16.3
"2019-06-10 14:00:00";17.6;18.5;16.8
"2019-06-10 15:00:00";16.9;17.9;16.3
"2019-06-10 16:00:00";17.1;17.9;16.4
"2019-06-10 17:00:00";16.8;17.3;16.4
"2019-06-10 18:00:00";16.1;16.4;15.8
"2019-06-10 19:00:00";15.1;15.8;14.3
"2019-06-10 20:00:00";13.6;14.3;13
"2019-06-10 21:00:00";12.7;13.1;12.2
"2019-06-10 22:00:00";11.9;12.2;11.6
"2019-06-10 23:00:00";11.3;11.6;11.1
"2019-06-11 00:00:00";12;12.3;11.5
"2019-06-11 01:00:00";12.5;12.8;12.2
"2019-06-11 02:00:00";12.5;12.7;12.3
"2019-06-11 03:00:00";12;12.3;11.7
"2019-06-11 04:00:00";11.7;11.9;11.7
"2019-06-11 05:00:00";11.7;12;11.5
"2019-06-11 06:00:00";12.4;12.9;12
"2019-06-11 07:00:00";14;15.1;12.9
"2019-06-11 08:00:00";15.4;15.8;14.9
"2019-06-11 09:00:00";16.1;16.5;15.6
"2019-06-11 10:00:00";16.4;17;15.8
"2019-06-11 11:00:00";15.4;15.9;15
"2019-06-11 12:00:00";14.9;15.2;14.7
"2019-06-11 13:00:00";14.5;14.8;14.2
"2019-06-11 14:00:00";14.2;14.4;14
"2019-06-11 15:00:00";14.7;15;14.2
"2019-06-11 16:00:00";14.8;15.1;14.7
"2019-06-11 17:00:00";15;15.2;14.8
"2019-06-11 18:00:00";15.3;15.6;15
"2019-06-11 19:00:00";15.5;15.7;15.4
"2019-06-11 20:00:00";15.6;15.7;15.4
"2019-06-11 21:00:00";15.7;15.9;15.6
"2019-06-11 22:00:00";15.5;15.8;15
"2019-06-11 23:00:00";14.7;15.2;13.8
"2019-06-12 00:00:00";13.7;14.2;13.1
"2019-06-12 01:00:00";13.5;14.1;13.2
"2019-06-12 02:00:00";13.7;14.1;13.4
"2019-06-12 03:00:00";13.8;14.2;13.4
"2019-06-12 04:00:00";13.7;14.2;13.1
"2019-06-12 05:00:00";14.5;14.9;14.1
"2019-06-12 06:00:00";15.1;15.3;14.8
"2019-06-12 07:00:00";14.6;15.1;14.3
"2019-06-12 08:00:00";14.2;14.5;14
"2019-06-12 09:00:00";14.1;14.3;14
"2019-06-12 10:00:00";14.8;15.6;14.2
"2019-06-12 11:00:00";15.1;15.7;14.6
"2019-06-12 12:00:00";15.2;15.5;14.8
"2019-06-12 13:00:00";15.7;16;15.3
"2019-06-12 14:00:00";15.9;16.2;15.5
"2019-06-12 15:00:00";15.7;15.9;15.4
"2019-06-12 16:00:00";15.4;15.8;15.1
"2019-06-12 17:00:00";15.2;15.4;15.1
"2019-06-12 18:00:00";15;15.2;14.8
"2019-06-12 19:00:00";14.7;15;14.4
"2019-06-12 20:00:00";14.4;14.6;14.4
"2019-06-12 21:00:00";14.6;14.8;14.4
"2019-06-12 22:00:00";14.9;15;14.7
"2019-06-12 23:00:00";15;15.1;14.9
"2019-06-13 00:00:00";15.1;15.4;14.8
"2019-06-13 01:00:00";15.4;15.5;15.2
"2019-06-13 02:00:00";14.5;15.5;13.8
"2019-06-13 03:00:00";13.6;13.9;13.4
"2019-06-13 04:00:00";13.3;13.6;13
"2019-06-13 05:00:00";12.6;13;12.4
"2019-06-13 06:00:00";12.7;13.2;12.4
"2019-06-13 07:00:00";13.5;14;13.1
"2019-06-13 08:00:00";14.6;15.7;13.3
"2019-06-13 09:00:00";15.9;16.8;15.2
"2019-06-13 10:00:00";17.1;18.3;16.2
"2019-06-13 11:00:00";17.9;18.8;17.2
"2019-06-13 12:00:00";18.9;19.5;17.7
"2019-06-13 13:00:00";18.9;19.6;17.9
"2019-06-13 14:00:00";18.1;18.6;17.3
"2019-06-13 15:00:00";18;18.5;17.3
"2019-06-13 16:00:00";17.1;17.8;16.4
"2019-06-13 17:00:00";17.1;17.4;16.4
"2019-06-13 18:00:00";16.9;17.2;16.5
"2019-06-13 19:00:00";16.3;16.7;15.8
"2019-06-13 20:00:00";14.3;15.8;12.9
"2019-06-13 21:00:00";12.7;13.2;12.1
"2019-06-13 22:00:00";12.4;13.4;11.9
"2019-06-13 23:00:00";13.2;13.5;12.9
"2019-06-14 00:00:00";13.1;13.5;12.8
"2019-06-14 01:00:00";13.4;13.8;13.2
"2019-06-14 02:00:00";13.2;13.7;12.7
"2019-06-14 03:00:00";12.3;12.7;11.8
"2019-06-14 04:00:00";11.7;12;11.4
"2019-06-14 05:00:00";12.9;13.8;12
"2019-06-14 06:00:00";14.6;15.4;13.8
"2019-06-14 07:00:00";16;16.8;15.2
"2019-06-14 08:00:00";17.3;17.9;16.7
"2019-06-14 09:00:00";18;18.6;17.5
"2019-06-14 10:00:00";18.7;19.6;18
"2019-06-14 11:00:00";20;20.5;19.1
"2019-06-14 12:00:00";20.3;20.8;19.8
"2019-06-14 13:00:00";20.1;20.9;19.7
"2019-06-14 14:00:00";19.1;19.9;18.3
"2019-06-14 15:00:00";18.1;18.5;17.8
"2019-06-14 16:00:00";17.8;18.5;16.9
"2019-06-14 17:00:00";17.9;18.3;17.6
"2019-06-14 18:00:00";17.3;18.3;16.4
"2019-06-14 19:00:00";16.6;17.3;15.6
"2019-06-14 20:00:00";15.2;15.7;14.7
"2019-06-14 21:00:00";14.3;14.9;13.6
"2019-06-14 22:00:00";12.9;13.7;12.5
"2019-06-14 23:00:00";12.3;12.7;11.9
"2019-06-15 00:00:00";12;12.2;11.6
"2019-06-15 01:00:00";11.5;12;11.1
"2019-06-15 02:00:00";11.3;11.8;10.9
"2019-06-15 03:00:00";11.5;11.8;11.2
"2019-06-15 04:00:00";11.6;11.9;11.3
"2019-06-15 05:00:00";12.6;13.8;11.9
"2019-06-15 06:00:00";14.3;15;13.8
"2019-06-15 07:00:00";15.1;16;14.8
"2019-06-15 08:00:00";16.7;17.1;16
"2019-06-15 09:00:00";16.7;16.9;16.3
"2019-06-15 10:00:00";16.2;16.3;16
"2019-06-15 11:00:00";16.4;16.9;16
"2019-06-15 12:00:00";17.2;17.8;16.8
"2019-06-15 13:00:00";18.3;19.7;17.7
"2019-06-15 14:00:00";19.7;20.4;19.2
"2019-06-15 15:00:00";19.9;20.3;19.5
"2019-06-15 16:00:00";19.6;20.5;18.7
"2019-06-15 17:00:00";18.2;18.8;17.6
"2019-06-15 18:00:00";16.9;17.7;15.9
"2019-06-15 19:00:00";15.2;15.9;14.7
"2019-06-15 20:00:00";14.9;15.2;14.7
"2019-06-15 21:00:00";14.8;14.9;14.7
"2019-06-15 22:00:00";14.8;15;14.6
"2019-06-15 23:00:00";14.4;14.7;14.2
"2019-06-16 00:00:00";13.9;14.3;13.4
"2019-06-16 01:00:00";13.4;13.5;13.3
"2019-06-16 02:00:00";12.9;13.3;12.6
"2019-06-16 03:00:00";12.6;12.8;12.5
"2019-06-16 04:00:00";12.3;12.6;12
"2019-06-16 05:00:00";12.4;13;12
"2019-06-16 06:00:00";13.6;14.4;12.9
"2019-06-16 07:00:00";14.9;15.7;14.3
"2019-06-16 08:00:00";16.2;16.8;15.6
"2019-06-16 09:00:00";17;17.6;16.5
"2019-06-16 10:00:00";17;17.7;16.3
"2019-06-16 11:00:00";17.2;17.6;16.7
"2019-06-16 12:00:00";17.4;18;17.1
"2019-06-16 13:00:00";17.2;17.4;16.8
"2019-06-16 14:00:00";17.5;18.1;17
"2019-06-16 15:00:00";17.8;18.5;16.9
"2019-06-16 16:00:00";17.4;18.4;16.7
"2019-06-16 17:00:00";17.3;18.4;16.5
"2019-06-16 18:00:00";16.4;17.4;15.9
"2019-06-16 19:00:00";15.4;16.2;14.6
"2019-06-16 20:00:00";13.8;14.7;13
"2019-06-16 21:00:00";12.4;13;11.9
"2019-06-16 22:00:00";11.5;12.1;11
"2019-06-16 23:00:00";10.4;11.1;9.9
"2019-06-17 00:00:00";9.7;10.1;9.1
"2019-06-17 01:00:00";9.6;9.9;9.1
"2019-06-17 02:00:00";9;9.4;8.8
"2019-06-17 03:00:00";9;9.6;8.8
"2019-06-17 04:00:00";10;10.4;9.5
"2019-06-17 05:00:00";11.5;12.5;10.4
"2019-06-17 06:00:00";13.9;15;12.5
"2019-06-17 07:00:00";15.5;16.1;14.9
"2019-06-17 08:00:00";16.6;17.3;15.9
"2019-06-17 09:00:00";17.3;18;16.7
"2019-06-17 10:00:00";18.2;18.8;17.4
"2019-06-17 11:00:00";18.4;19.3;18
"2019-06-17 12:00:00";18.3;18.8;18
"2019-06-17 13:00:00";18.7;19.5;18
"2019-06-17 14:00:00";18.9;19.5;18.3
"2019-06-17 15:00:00";19.1;19.5;18.7
"2019-06-17 16:00:00";18.4;19;18.1
"2019-06-17 17:00:00";18.2;18.8;17.8
"2019-06-17 18:00:00";18.1;18.6;17.6
"2019-06-17 19:00:00";17.5;17.8;17.2
"2019-06-17 20:00:00";16.8;17.2;16.3
"2019-06-17 21:00:00";15.6;16.3;14.9
"2019-06-17 22:00:00";14.9;15.2;14.6
"2019-06-17 23:00:00";14.9;15.1;14.7
"2019-06-18 00:00:00";14.6;15;14.1
"2019-06-18 01:00:00";14.1;14.4;13.7
"2019-06-18 02:00:00";14.1;14.9;13.6
"2019-06-18 03:00:00";14.9;15.1;14.5
"2019-06-18 04:00:00";14.3;14.5;14.1
"2019-06-18 05:00:00";14.8;15.5;14.3
"2019-06-18 06:00:00";15.8;16.7;15.3
"2019-06-18 07:00:00";17.5;17.9;16.6
"2019-06-18 08:00:00";18.3;19.3;17.7
"2019-06-18 09:00:00";20.4;21.3;19.3
"2019-06-18 10:00:00";21.9;22.5;21.1
"2019-06-18 11:00:00";21.9;22.3;21.4
"2019-06-18 12:00:00";21.9;22.6;21.4
"2019-06-18 13:00:00";22.3;22.7;21.9
"2019-06-18 14:00:00";22;22.8;21.4
"2019-06-18 15:00:00";21;21.8;20.3
"2019-06-18 16:00:00";20.1;20.4;19.8
"2019-06-18 17:00:00";19.9;20.4;19.4
"2019-06-18 18:00:00";18.5;19.6;17.6
"2019-06-18 19:00:00";17;17.7;16.3
"2019-06-18 20:00:00";15.8;16.3;15.3
"2019-06-18 21:00:00";14.9;15.4;14.4
"2019-06-18 22:00:00";13.9;14.5;13
"2019-06-18 23:00:00";13;13.6;12
"2019-06-19 00:00:00";12.1;12.7;11.6
"2019-06-19 01:00:00";11.9;12.2;11.8
"2019-06-19 02:00:00";11.5;12;11
"2019-06-19 03:00:00";11.4;11.6;11.2
"2019-06-19 04:00:00";11.7;12.3;11.1
"2019-06-19 05:00:00";12.5;12.8;12.1
"2019-06-19 06:00:00";13.5;14.5;12.8
"2019-06-19 07:00:00";15.4;16.6;14.4
"2019-06-19 08:00:00";16.7;17.2;16.4
"2019-06-19 09:00:00";16.9;17.5;16.2
"2019-06-19 10:00:00";18.2;19.4;17.3
"2019-06-19 11:00:00";20.4;21.3;19.3
"2019-06-19 12:00:00";22.3;23.4;21.1
"2019-06-19 13:00:00";23.5;24.2;23.1
"2019-06-19 14:00:00";24.7;25.9;23.4
"2019-06-19 15:00:00";25.2;26.2;23.8
"2019-06-19 16:00:00";23.3;24.4;22
"2019-06-19 17:00:00";17.9;22.1;16
"2019-06-19 18:00:00";18.6;19.6;16.8
"2019-06-19 19:00:00";19.3;19.7;18.7
"2019-06-19 20:00:00";18.2;18.7;17.8
"2019-06-19 21:00:00";17.6;17.9;17.3
"2019-06-19 22:00:00";17.2;17.5;17
"2019-06-19 23:00:00";16.8;17.2;16.2
"2019-06-20 00:00:00";15.9;16.4;15.6
"2019-06-20 01:00:00";15.6;15.8;15.5
"2019-06-20 02:00:00";15.4;15.7;15.2
"2019-06-20 03:00:00";15.2;15.4;15
"2019-06-20 04:00:00";15.2;15.5;15.1
"2019-06-20 05:00:00";15.2;15.3;15
"2019-06-20 06:00:00";15.3;15.5;15.1
"2019-06-20 07:00:00";15.8;16.3;15.3
"2019-06-20 08:00:00";16.3;17;16.1
"2019-06-20 09:00:00";16.6;17;16.4
"2019-06-20 10:00:00";16.5;16.9;16.2
