"DateTime";"Middeltemperatur";"Maksimumtemperatur";"Minimumtemperatur"
"2019-08-01 00:00:00";14.6;14.8;14.3
"2019-08-01 01:00:00";14.7;15;14.3
"2019-08-01 02:00:00";14.4;15;14.3
"2019-08-01 03:00:00";14.8;15.1;14.6
"2019-08-01 04:00:00";14.8;14.9;14.6
"2019-08-01 05:00:00";14.7;14.9;14.6
"2019-08-01 06:00:00";14.7;15.1;14.5
"2019-08-01 07:00:00";15.3;15.7;15
"2019-08-01 08:00:00";16.1;16.6;15.5
"2019-08-01 09:00:00";17.6;18.7;16.3
"2019-08-01 10:00:00";18.3;19.1;17.8
"2019-08-01 11:00:00";18.8;19.5;18.2
"2019-08-01 12:00:00";19.2;20;18.3
"2019-08-01 13:00:00";19.2;20;18.6
"2019-08-01 14:00:00";18.6;19;18.2
"2019-08-01 15:00:00";18.2;18.5;17.9
"2019-08-01 16:00:00";18;18.4;17.7
"2019-08-01 17:00:00";18.6;19.5;18.1
"2019-08-01 18:00:00";18.6;18.8;18.4
"2019-08-01 19:00:00";17.7;18.4;17
"2019-08-01 20:00:00";16.3;17.1;15.8
"2019-08-01 21:00:00";15.5;15.8;15.2
"2019-08-01 22:00:00";15.1;15.7;14.2
"2019-08-01 23:00:00";14.6;15.2;13.8
"2019-08-02 00:00:00";13.7;14.5;13.1
"2019-08-02 01:00:00";12.8;13.4;11.9
"2019-08-02 02:00:00";12;12.5;11.7
"2019-08-02 03:00:00";12;12.3;11.6
"2019-08-02 04:00:00";11.6;11.9;11.2
"2019-08-02 05:00:00";12.8;13.7;11.8
"2019-08-02 06:00:00";14.3;15.6;13.5
"2019-08-02 07:00:00";16.4;17.5;15.6
"2019-08-02 08:00:00";18.4;19.3;17.4
"2019-08-02 09:00:00";19.9;20.5;19
"2019-08-02 10:00:00";20.9;21.5;20.1
"2019-08-02 11:00:00";21.5;22.2;20.8
"2019-08-02 12:00:00";22.1;23.3;21.2
"2019-08-02 13:00:00";21.4;22.9;21
"2019-08-02 14:00:00";21.9;23.3;21
"2019-08-02 15:00:00";21.4;22.2;20.9
"2019-08-02 16:00:00";21.1;22;20.4
"2019-08-02 17:00:00";21.4;22;20.8
"2019-08-02 18:00:00";20.9;21.6;20.1
"2019-08-02 19:00:00";19.8;20.3;18.8
"2019-08-02 20:00:00";17.2;18.7;16
"2019-08-02 21:00:00";15.6;16;15.1
"2019-08-02 22:00:00";15;15.5;14.5
"2019-08-02 23:00:00";14.6;14.8;14.4
"2019-08-03 00:00:00";13.8;14.6;13.3
"2019-08-03 01:00:00";13.5;13.8;13.1
"2019-08-03 02:00:00";13.9;14.2;13.5
"2019-08-03 03:00:00";13.8;14.3;13.5
"2019-08-03 04:00:00";13.2;13.9;12.9
"2019-08-03 05:00:00";13.5;14.1;12.9
"2019-08-03 06:00:00";15;16.1;14.1
"2019-08-03 07:00:00";17;17.8;16.1
"2019-08-03 08:00:00";18.2;19;17.8
"2019-08-03 09:00:00";19;19.9;18.2
"2019-08-03 10:00:00";19.5;19.9;19.1
"2019-08-03 11:00:00";20;21;19.3
"2019-08-03 12:00:00";21.2;22;20.7
"2019-08-03 13:00:00";21.7;22.4;21.1
"2019-08-03 14:00:00";21.7;22.6;20.5
"2019-08-03 15:00:00";21.2;21.8;20.2
"2019-08-03 16:00:00";20.7;21.5;20.2
"2019-08-03 17:00:00";19.8;20.3;19.2
"2019-08-03 18:00:00";18.6;19.4;17.6
"2019-08-03 19:00:00";17;17.8;16.1
"2019-08-03 20:00:00";16.1;16.4;15.8
"2019-08-03 21:00:00";16.3;16.4;16.1
"2019-08-03 22:00:00";16.1;16.3;15.9
"2019-08-03 23:00:00";15.9;16.1;15.8
"2019-08-04 00:00:00";15.8;16;15.7
"2019-08-04 01:00:00";15.8;16;15.6
"2019-08-04 02:00:00";15.6;15.7;15.5
"2019-08-04 03:00:00";15.4;15.6;15.2
"2019-08-04 04:00:00";15.3;15.5;15.2
"2019-08-04 05:00:00";15.6;15.9;15.3
"2019-08-04 06:00:00";16;16.2;15.8
"2019-08-04 07:00:00";16.3;16.6;16
"2019-08-04 08:00:00";16.7;17.2;16.3
"2019-08-04 09:00:00";17.4;17.6;17
"2019-08-04 10:00:00";17.3;18;16.6
"2019-08-04 11:00:00";16.4;16.8;15.9
"2019-08-04 12:00:00";17;18.1;16.1
"2019-08-04 13:00:00";17.3;18.2;16.6
"2019-08-04 14:00:00";17.8;18.2;17.1
"2019-08-04 15:00:00";17.5;18.2;16.9
"2019-08-04 16:00:00";17.5;17.8;16.9
"2019-08-04 17:00:00";17.1;17.5;16.7
"2019-08-04 18:00:00";16.3;16.9;15.9
"2019-08-04 19:00:00";16;16.2;15.8
"2019-08-04 20:00:00";15.8;16;15.6
"2019-08-04 21:00:00";15.5;15.7;15.2
"2019-08-04 22:00:00";15.1;15.3;14.9
"2019-08-04 23:00:00";14.8;15;14.3
"2019-08-05 00:00:00";14.3;14.5;13.9
"2019-08-05 01:00:00";13.1;13.9;12.3
"2019-08-05 02:00:00";12.9;13.2;12.4
"2019-08-05 03:00:00";12.3;12.8;12
"2019-08-05 04:00:00";12.4;12.7;12.1
"2019-08-05 05:00:00";13.2;13.9;12.6
"2019-08-05 06:00:00";14.3;15;13.8
"2019-08-05 07:00:00";15.5;16.2;14.8
"2019-08-05 08:00:00";16.8;17.7;16.1
"2019-08-05 09:00:00";17.9;18.6;17.3
"2019-08-05 10:00:00";19.1;19.8;18.5
"2019-08-05 11:00:00";20.1;20.8;19.6
"2019-08-05 12:00:00";20.7;21.4;20.1
"2019-08-05 13:00:00";21.1;21.5;20.7
"2019-08-05 14:00:00";20.8;21.3;19.6
"2019-08-05 15:00:00";18.4;19.6;17.9
"2019-08-05 16:00:00";18;18.5;17.5
"2019-08-05 17:00:00";18.1;18.6;17.6
"2019-08-05 18:00:00";17.3;17.6;17
"2019-08-05 19:00:00";17;17.2;16.6
"2019-08-05 20:00:00";16.4;16.7;16.3
"2019-08-05 21:00:00";16.1;16.4;15.8
"2019-08-05 22:00:00";15.6;15.9;15.5
"2019-08-05 23:00:00";15.4;15.6;15.3
"2019-08-06 00:00:00";15.5;15.6;15.3
"2019-08-06 01:00:00";15.6;15.8;15.5
"2019-08-06 02:00:00";15.6;15.8;15.3
"2019-08-06 03:00:00";15.5;15.7;15.3
"2019-08-06 04:00:00";15.5;15.7;15.4
"2019-08-06 05:00:00";15.5;15.7;15.2
"2019-08-06 06:00:00";15.9;16.7;15.2
"2019-08-06 07:00:00";17;17.7;16.5
"2019-08-06 08:00:00";18.4;18.9;17.7
"2019-08-06 09:00:00";19.6;20.3;18.7
"2019-08-06 10:00:00";20.2;20.8;19.4
"2019-08-06 11:00:00";20.7;21.7;19.7
"2019-08-06 12:00:00";21.3;22.3;20.4
"2019-08-06 13:00:00";21.3;22.1;20.6
"2019-08-06 14:00:00";20.7;21.6;20.3
"2019-08-06 15:00:00";21.2;22.5;20.3
"2019-08-06 16:00:00";21.2;21.8;20.6
"2019-08-06 17:00:00";20.3;21.1;19.6
"2019-08-06 18:00:00";18.9;19.6;18.1
"2019-08-06 19:00:00";17.7;18.1;17.1
"2019-08-06 20:00:00";16.3;17.1;15.6
"2019-08-06 21:00:00";15.3;15.7;14.9
"2019-08-06 22:00:00";14.7;15;14.5
"2019-08-06 23:00:00";14.3;14.6;14.1
"2019-08-07 00:00:00";14.1;14.4;13.7
"2019-08-07 01:00:00";13.4;13.9;13
"2019-08-07 02:00:00";12.9;13.1;12.8
"2019-08-07 03:00:00";12.9;13.2;12.7
"2019-08-07 04:00:00";13.3;13.5;13.2
"2019-08-07 05:00:00";13.9;14.5;13.4
"2019-08-07 06:00:00";14.8;15.3;14.4
"2019-08-07 07:00:00";15.4;15.6;15.1
"2019-08-07 08:00:00";16.8;17.6;15.6
"2019-08-07 09:00:00";18.2;19;17.5
"2019-08-07 10:00:00";18.4;19.5;17.1
"2019-08-07 11:00:00";20.5;21.2;19.6
"2019-08-07 12:00:00";20.1;21.1;19.6
"2019-08-07 13:00:00";19.6;20.1;19.1
"2019-08-07 14:00:00";20.5;21.2;20
"2019-08-07 15:00:00";20.1;21.1;19.4
"2019-08-07 16:00:00";19.4;19.9;18.5
"2019-08-07 17:00:00";18.4;18.9;18
"2019-08-07 18:00:00";17.7;18.7;17.3
"2019-08-07 19:00:00";17.1;17.5;16.4
"2019-08-07 20:00:00";16.2;16.7;15.8
"2019-08-07 21:00:00";15.4;16;14.7
"2019-08-07 22:00:00";14.6;14.8;14.5
"2019-08-07 23:00:00";14.1;14.7;13.6
"2019-08-08 00:00:00";14.1;14.5;13.6
"2019-08-08 01:00:00";13.4;14.1;13
"2019-08-08 02:00:00";12.7;13.2;12.5
"2019-08-08 03:00:00";12.3;12.5;11.9
"2019-08-08 04:00:00";12.3;12.5;12.2
"2019-08-08 05:00:00";13.1;13.8;12.3
"2019-08-08 06:00:00";14.5;15.5;13.8
"2019-08-08 07:00:00";16.5;17.5;15.5
"2019-08-08 08:00:00";18.3;19.7;17
"2019-08-08 09:00:00";16.2;20;14.8
"2019-08-08 10:00:00";16.7;18.3;15.7
"2019-08-08 11:00:00";16.9;17.6;16.4
"2019-08-08 12:00:00";17.7;18.6;17.1
"2019-08-08 13:00:00";16.5;18.6;15
"2019-08-08 16:00:00";16.6;17;16.1
"2019-08-08 17:00:00";16.5;17;15.9
"2019-08-08 18:00:00";15.9;16.2;15.6
"2019-08-08 19:00:00";15.6;15.9;15.2
"2019-08-08 20:00:00";15.1;15.4;14.7
"2019-08-08 21:00:00";14.6;15;14.4
"2019-08-08 22:00:00";14.5;14.7;14.3
"2019-08-08 23:00:00";14.1;14.4;13.8
"2019-08-09 00:00:00";13.6;13.9;13.4
"2019-08-09 01:00:00";13.9;14;13.7
"2019-08-09 02:00:00";13.6;13.9;13.3
"2019-08-09 03:00:00";13.4;13.7;12.8
"2019-08-09 04:00:00";12.8;13.1;12.6
"2019-08-09 05:00:00";13.2;13.8;12.9
"2019-08-09 06:00:00";14.7;15.7;13.7
"2019-08-09 07:00:00";16.4;17.2;15.6
"2019-08-09 08:00:00";17.5;18.4;17.1
"2019-08-09 09:00:00";18.4;19.8;17
"2019-08-09 10:00:00";19.7;20.2;19.3
"2019-08-09 11:00:00";19.9;20.5;19.5
"2019-08-09 12:00:00";20;20.4;19.6
"2019-08-09 13:00:00";20.4;20.6;20.2
"2019-08-09 14:00:00";20.6;20.8;20.4
"2019-08-09 15:00:00";20.6;20.9;20.4
"2019-08-09 16:00:00";20.4;20.6;20.3
"2019-08-09 17:00:00";20.2;20.6;19.7
"2019-08-09 18:00:00";19.2;19.7;18.6
"2019-08-09 19:00:00";17.7;18.7;16.8
"2019-08-09 20:00:00";16.5;16.9;16
"2019-08-09 21:00:00";15.9;16.1;15.8
"2019-08-09 22:00:00";16;16.2;15.7
"2019-08-09 23:00:00";16.3;16.4;16.1
"2019-08-10 00:00:00";16.2;16.4;16.1
"2019-08-10 01:00:00";16.3;16.5;16.2
"2019-08-10 02:00:00";16.7;16.8;16.4
"2019-08-10 03:00:00";16.9;17;16.7
"2019-08-10 04:00:00";16.6;16.8;16.5
"2019-08-10 05:00:00";16.7;16.9;16.6
"2019-08-10 06:00:00";17.4;17.8;16.9
"2019-08-10 07:00:00";18.1;18.7;17.7
"2019-08-10 08:00:00";18.9;19.5;18.7
"2019-08-10 09:00:00";20.4;21.4;19.2
"2019-08-10 10:00:00";20.6;21.7;18.2
"2019-08-10 11:00:00";17.8;18.3;17
"2019-08-10 12:00:00";18.2;18.8;17.4
"2019-08-10 13:00:00";19.1;20;18.1
"2019-08-10 14:00:00";19.2;20.2;17.8
"2019-08-10 15:00:00";18.8;19.2;18.2
"2019-08-10 16:00:00";18;18.5;17.3
"2019-08-10 17:00:00";18.4;18.8;18.2
"2019-08-10 18:00:00";18.1;18.6;17.6
"2019-08-10 19:00:00";17.3;17.7;16.2
"2019-08-10 20:00:00";16.3;16.7;15.9
"2019-08-10 21:00:00";16.8;17.1;16.6
"2019-08-10 22:00:00";16.8;17.1;16.4
"2019-08-10 23:00:00";17.1;17.3;16.9
"2019-08-11 00:00:00";17.3;17.5;17.1
"2019-08-11 01:00:00";17.4;17.5;17.2
"2019-08-11 02:00:00";17.4;17.6;17.2
"2019-08-11 03:00:00";16.9;17.5;16
"2019-08-11 04:00:00";15.9;16.2;15.5
"2019-08-11 05:00:00";16;16.4;15.3
"2019-08-11 06:00:00";15.8;16.2;15.4
"2019-08-11 07:00:00";16.3;16.9;15.9
"2019-08-11 08:00:00";16.4;16.7;16
"2019-08-11 09:00:00";17.1;17.7;16.4
"2019-08-11 10:00:00";17.5;19.3;16.5
"2019-08-11 11:00:00";18.8;19.8;18.4
"2019-08-11 12:00:00";19.5;20.1;18.6
"2019-08-11 13:00:00";19;19.6;18.4
"2019-08-11 14:00:00";18.1;18.7;17
"2019-08-11 15:00:00";18.4;19.1;17.8
"2019-08-11 16:00:00";17.8;18.5;16.7
"2019-08-11 17:00:00";17.5;17.8;17.3
"2019-08-11 18:00:00";17.4;17.6;17.2
"2019-08-11 19:00:00";17;17.3;16.8
"2019-08-11 20:00:00";16.6;16.9;16.4
"2019-08-11 21:00:00";16.6;16.8;16.5
"2019-08-11 22:00:00";16.3;16.8;15.9
"2019-08-11 23:00:00";16.4;16.5;16.2
"2019-08-12 00:00:00";16.5;16.7;15.8
"2019-08-12 01:00:00";15.9;16.1;15.8
"2019-08-12 02:00:00";15.7;15.9;15.6
"2019-08-12 03:00:00";15.2;15.7;14.8
"2019-08-12 04:00:00";14.6;14.9;14.3
"2019-08-12 05:00:00";14.4;14.8;14.2
"2019-08-12 06:00:00";15.2;15.7;14.8
"2019-08-12 07:00:00";16.4;17.3;15.7
"2019-08-12 08:00:00";17.1;17.7;16.7
"2019-08-12 09:00:00";17.3;17.7;16.5
"2019-08-12 10:00:00";17.9;18.7;17.1
"2019-08-12 11:00:00";18.2;19.2;17.6
"2019-08-12 12:00:00";18.3;19.2;17.6
"2019-08-12 13:00:00";18;18.7;17
"2019-08-12 14:00:00";16.7;17.3;16.1
"2019-08-12 15:00:00";15.8;17;15.1
"2019-08-12 16:00:00";15.1;15.5;14.7
"2019-08-12 17:00:00";15.2;15.6;15
"2019-08-12 18:00:00";15.3;15.6;15
"2019-08-12 19:00:00";15.1;15.4;14.6
"2019-08-12 20:00:00";14.5;14.7;14.3
"2019-08-12 21:00:00";14.2;14.4;14
"2019-08-12 22:00:00";13.8;14.2;13.5
"2019-08-12 23:00:00";13.6;13.8;13.1
"2019-08-13 00:00:00";12.9;13.2;12.5
"2019-08-13 01:00:00";12.5;12.7;12.4
"2019-08-13 02:00:00";12.4;12.6;12.3
"2019-08-13 03:00:00";12.1;12.4;11.7
"2019-08-13 04:00:00";12.1;12.2;11.9
"2019-08-13 05:00:00";12;12.1;11.9
"2019-08-13 06:00:00";12.6;13.3;12
"2019-08-13 07:00:00";13.9;14.7;12.8
"2019-08-13 08:00:00";14.7;15.4;13.9
"2019-08-13 09:00:00";15.2;16.2;14.5
"2019-08-13 10:00:00";16;17.9;14.7
"2019-08-13 11:00:00";16.4;18.3;14.9
"2019-08-13 12:00:00";16.5;18.1;15.5
"2019-08-13 13:00:00";16.9;18.1;15.9
"2019-08-13 14:00:00";16.1;17.2;14.9
"2019-08-13 15:00:00";16.2;17.4;14.9
"2019-08-13 16:00:00";15.8;16.8;15
"2019-08-13 17:00:00";16;16.9;15.3
"2019-08-13 18:00:00";14.3;16;12.3
"2019-08-13 19:00:00";12.2;12.5;11.9
"2019-08-13 20:00:00";11.3;12.1;10.9
"2019-08-13 21:00:00";10.7;11.1;10.3
"2019-08-13 22:00:00";10.2;10.4;10.1
"2019-08-13 23:00:00";10.3;10.6;10
"2019-08-14 00:00:00";10.1;10.7;9.4
"2019-08-14 01:00:00";9.9;10.3;9.4
"2019-08-14 02:00:00";9.9;10.3;9.7
"2019-08-14 03:00:00";9.4;9.9;8.7
"2019-08-14 04:00:00";9;9.2;8.6
"2019-08-14 05:00:00";9.5;10.1;8.9
"2019-08-14 06:00:00";10.7;11.4;10.1
"2019-08-14 07:00:00";12.7;13.9;11.4
"2019-08-14 08:00:00";14.6;15.6;12.8
"2019-08-14 09:00:00";14.7;16;12.7
"2019-08-14 10:00:00";16.5;18;14.8
"2019-08-14 11:00:00";17.7;18.8;16.2
"2019-08-14 12:00:00";18.2;18.9;17.1
"2019-08-14 13:00:00";18.2;19;16.9
"2019-08-14 14:00:00";17.5;19.2;15.9
"2019-08-14 15:00:00";17.3;18.3;16.2
"2019-08-14 16:00:00";16.8;17.6;16.2
"2019-08-14 17:00:00";17.1;17.5;16.2
"2019-08-14 18:00:00";15.7;16.2;15.3
"2019-08-14 19:00:00";14.9;15.4;14.3
"2019-08-14 20:00:00";13.6;14.3;13.2
"2019-08-14 21:00:00";13;13.2;12.9
"2019-08-14 22:00:00";12.9;13;12.7
"2019-08-14 23:00:00";13.1;13.3;12.9
"2019-08-15 00:00:00";13;13.1;12.8
"2019-08-15 01:00:00";12.7;12.9;12.6
"2019-08-15 02:00:00";12.7;12.8;12.6
"2019-08-15 03:00:00";12.5;12.6;12.4
"2019-08-15 04:00:00";12.5;12.6;12.4
"2019-08-15 05:00:00";12.5;12.7;12.4
"2019-08-15 06:00:00";13.4;14.2;12.6
"2019-08-15 07:00:00";14.1;14.5;13.9
"2019-08-15 08:00:00";14.9;15.6;14.5
"2019-08-15 09:00:00";14.2;15.2;13.8
"2019-08-15 10:00:00";14;14.4;13.7
"2019-08-15 11:00:00";14.8;15.1;14.3
"2019-08-15 12:00:00";15.3;15.9;15
"2019-08-15 13:00:00";16.2;16.7;15.8
"2019-08-15 14:00:00";16.4;16.8;16
"2019-08-15 15:00:00";17.2;17.6;16.8
"2019-08-15 16:00:00";16.6;17.1;16.2
"2019-08-15 17:00:00";16;16.3;15.8
"2019-08-15 18:00:00";16.4;16.5;16.2
"2019-08-15 19:00:00";16.3;16.6;15.8
"2019-08-15 20:00:00";15.6;16;15.2
"2019-08-15 21:00:00";15.6;15.8;15.3
"2019-08-15 22:00:00";15.6;15.8;15.4
"2019-08-15 23:00:00";15.3;15.6;15.1
"2019-08-16 00:00:00";15.2;15.4;15
"2019-08-16 01:00:00";15;15.3;14.7
"2019-08-16 02:00:00";14.4;14.8;14.2
"2019-08-16 03:00:00";14.5;14.7;14.3
"2019-08-16 04:00:00";14.3;14.5;14
"2019-08-16 05:00:00";14;14.1;13.9
"2019-08-16 06:00:00";14;14.3;13.8
"2019-08-16 07:00:00";14;14.2;13.8
"2019-08-16 08:00:00";14.6;15;14
"2019-08-16 09:00:00";14.7;15.4;14.3
"2019-08-16 10:00:00";15.7;16.7;15.1
"2019-08-16 11:00:00";16.2;16.7;15.7
"2019-08-16 12:00:00";17.2;18.1;16.3
"2019-08-16 13:00:00";17.7;18.5;16.8
"2019-08-16 14:00:00";17.6;18.6;16.9
"2019-08-16 15:00:00";17.7;18.4;17.2
"2019-08-16 16:00:00";17.7;18.5;17.1
"2019-08-16 17:00:00";16.8;17.5;16.5
"2019-08-16 18:00:00";16.4;16.6;16.2
"2019-08-16 19:00:00";15.9;16.3;15.5
"2019-08-16 20:00:00";15.3;15.6;15
"2019-08-16 21:00:00";15;15.2;14.9
"2019-08-16 22:00:00";14.9;15.1;14.8
"2019-08-16 23:00:00";15;15.2;14.9
"2019-08-17 00:00:00";15.1;15.2;14.9
"2019-08-17 01:00:00";15;15.3;14.8
"2019-08-17 02:00:00";14.7;14.9;14.5
"2019-08-17 03:00:00";14.6;14.7;14.5
"2019-08-17 04:00:00";14.8;15;14.6
"2019-08-17 05:00:00";14.8;15;14.7
"2019-08-17 06:00:00";14.9;15.1;14.7
"2019-08-17 07:00:00";15;15.1;14.9
"2019-08-17 08:00:00";15.3;15.7;15
"2019-08-17 09:00:00";15.7;16;15.4
"2019-08-17 10:00:00";16.2;16.8;15.9
"2019-08-17 11:00:00";18.1;18.8;16.9
"2019-08-17 12:00:00";19.2;20.2;18.6
"2019-08-17 13:00:00";19.3;20.5;18
"2019-08-17 14:00:00";19.8;20.7;18.2
"2019-08-17 15:00:00";19.6;20.5;18.9
"2019-08-17 16:00:00";18.8;19.3;18.2
"2019-08-17 17:00:00";18;18.6;17.6
"2019-08-17 18:00:00";17.3;18.2;16.9
"2019-08-17 19:00:00";16.6;17;16.1
"2019-08-17 20:00:00";15.5;16.1;14.8
"2019-08-17 21:00:00";14.6;14.9;14
"2019-08-17 22:00:00";13.8;14.2;13.5
"2019-08-17 23:00:00";13.5;13.6;13.4
"2019-08-18 00:00:00";13.6;13.7;13.5
"2019-08-18 01:00:00";13.6;13.7;13.5
"2019-08-18 02:00:00";13.3;13.6;13
"2019-08-18 03:00:00";12.6;13.1;12.2
"2019-08-18 04:00:00";12.4;12.8;12.2
"2019-08-18 05:00:00";12.7;13;12.5
"2019-08-18 06:00:00";13.2;13.5;12.6
"2019-08-18 07:00:00";13.7;13.9;13.4
"2019-08-18 08:00:00";13.8;14;13.6
"2019-08-18 09:00:00";14.7;15.1;13.9
"2019-08-18 10:00:00";15.1;15.7;14.7
"2019-08-18 11:00:00";15.5;15.9;15
"2019-08-18 12:00:00";15.1;15.3;14.8
"2019-08-18 13:00:00";14.8;15.1;14.7
"2019-08-18 14:00:00";14.2;14.7;13.9
"2019-08-18 15:00:00";14;14.3;13.8
"2019-08-18 16:00:00";14.3;14.6;14
"2019-08-18 17:00:00";14.9;15.4;14.5
"2019-08-18 18:00:00";15.5;15.6;15.2
"2019-08-18 19:00:00";14.5;15.3;13.7
"2019-08-18 20:00:00";13.3;13.7;13
"2019-08-18 21:00:00";12.9;13.1;12.5
"2019-08-18 22:00:00";12.5;12.7;12.3
"2019-08-18 23:00:00";12.3;12.6;11.8
"2019-08-19 00:00:00";11.8;12.1;11.5
"2019-08-19 01:00:00";11.5;11.8;11.3
"2019-08-19 02:00:00";10.7;11.5;10.2
"2019-08-19 03:00:00";11;11.5;10.4
"2019-08-19 04:00:00";11.5;11.8;11.3
"2019-08-19 05:00:00";12.5;13.2;11.7
"2019-08-19 06:00:00";13.8;14.2;13.1
"2019-08-19 07:00:00";15;15.8;14.1
"2019-08-19 08:00:00";16.8;18;15.7
"2019-08-19 09:00:00";18.1;18.6;17.7
"2019-08-19 10:00:00";15.8;18.3;14.4
"2019-08-19 11:00:00";15.6;17.2;14.8
"2019-08-19 12:00:00";16.3;17.1;15.5
"2019-08-19 13:00:00";17.5;18.2;16.5
"2019-08-19 14:00:00";18.2;19.1;17.2
"2019-08-19 15:00:00";18;19.3;17.2
"2019-08-19 16:00:00";17.8;18.3;17.4
"2019-08-19 17:00:00";17.1;17.8;16.3
"2019-08-19 18:00:00";16.1;16.9;14.5
"2019-08-19 19:00:00";14.6;14.9;14.3
"2019-08-19 20:00:00";14;14.3;13.7
"2019-08-19 21:00:00";13.9;14.1;13.7
"2019-08-19 22:00:00";13.5;13.8;13
"2019-08-19 23:00:00";12.7;13.1;12.3
"2019-08-20 00:00:00";12.4;12.7;12.1
"2019-08-20 01:00:00";11.8;12.3;11.3
"2019-08-20 02:00:00";11.3;11.4;11.1
"2019-08-20 03:00:00";11.4;11.5;11.2
"2019-08-20 04:00:00";11.3;11.4;11.1
