GasDay;NG Demand DK MWh
2023-09-23;30099.768
2023-09-24;31171.955
2023-09-25;39884.821
2023-09-26;39261.575
2023-09-27;36043.391
2023-09-28;36272.273
2023-09-29;32703.58
2023-09-30;28559.528
2023-10-01;31127.207
2023-10-02;40208.189
2023-10-03;40323.605
2023-10-04;43147.721
2023-10-05;44500.291
2023-10-06;38000.44
2023-10-07;45924.097
2023-10-08;59708.347
2023-10-09;68195.695
2023-10-10;49810.594
2023-10-11;45131.872
2023-10-12;51199.113
2023-10-13;44638.683
2023-10-14;41018.368
2023-10-15;45026.048
2023-10-16;63772.033
2023-10-17;58149.556
2023-10-18;54950.916
2023-10-19;59699.082
2023-10-20;62363.86
2023-10-21;49161.28
2023-10-22;44837.716
2023-10-23;66301.33
2023-10-24;57907.794
2023-10-25;61446.064
2023-10-26;76147.006
2023-10-27;74593.866
2023-10-28;58226.871
2023-10-29;46995.617
2023-10-30;59610.779
2023-10-31;74291.746
2023-11-01;69503.332
2023-11-02;55078.426
2023-11-03;50130.166
2023-11-04;46899.085
2023-11-05;46714.248
2023-11-06;55915.543
2023-11-07;62417.828
2023-11-08;60919.011
2023-11-09;63155.3
2023-11-10;61900.199
2023-11-11;57980.648
2023-11-12;61552.303
2023-11-13;71577.087
2023-11-14;70709.276
2023-11-15;88847.718
2023-11-16;99342.663
2023-11-17;95508.385
2023-11-18;75806.952
2023-11-19;61031.022
2023-11-20;87499.093
2023-11-21;94762.462
2023-11-22;84176.021
2023-11-23;69697.137
2023-11-24;79068.757
2023-11-25;92378.344
2023-11-26;105090.964
2023-11-27;120992.531
2023-11-28;144902.494
2023-11-29;144674.208
2023-11-30;142658.773
2023-12-01;130196.978
2023-12-02;120761.983
2023-12-03;114831.755
2023-12-04;122108.176
2023-12-05;119567.884
2023-12-06;125037.698
2023-12-07;106247.134
2023-12-08;97639.429
2023-12-09;71823.328
2023-12-10;66710.566
2023-12-11;86730.839
2023-12-12;97983.017
2023-12-13;110026.51
2023-12-14;102756.852
2023-12-15;75339.453
2023-12-16;49786.189
2023-12-17;49746.177
2023-12-18;58303.966
2023-12-19;66039.918
2023-12-20;70314.877
2023-12-21;65589.087
2023-12-22;69074.596
2023-12-23;62816.686
2023-12-24;51374.527
2023-12-25;51032.009
2023-12-26;57992.971
2023-12-27;73678.567
2023-12-28;52450.634
2023-12-29;51649.5
2023-12-30;52028.521
2023-12-31;51275.906
