GasDay;NG Demand DK MWh
2024-01-01;57575.768
2024-01-02;85263.739
2024-01-03;104376.508
2024-01-04;138550.991
2024-01-05;159116.9
2024-01-06;147066.511
2024-01-07;157382.423
2024-01-08;168199.679
2024-01-09;156303.756
2024-01-10;140818.018
2024-01-11;132364.554
2024-01-12;123152.773
2024-01-13;93648.719
2024-01-14;102915.647
2024-01-15;134701.998
2024-01-16;141952.301
2024-01-17;133545.319
2024-01-18;132838.383
2024-01-19;119300.88
2024-01-20;99019.472
2024-01-21;88082.934
2024-01-22;129540.358
2024-01-23;83681.821
2024-01-24;75008.456
2024-01-25;91638.06
2024-01-26;75998.915
2024-01-27;70299.657
2024-01-28;67889.428
2024-01-29;92004.55
2024-01-30;79411.007
2024-01-31;76385.026
2024-02-01;72286.987
2024-02-02;62551.799
2024-02-03;58861.532
2024-02-04;63687.108
2024-02-05;71917.429
2024-02-06;78019.517
2024-02-07;101198.388
2024-02-08;100435.138
2024-02-09;97437.615
2024-02-10;84906.268
2024-02-11;82992.203
2024-02-12;98634.443
2024-02-13;84241.468
2024-02-14;78800.031
2024-02-15;73326.06
2024-02-16;60703.473
2024-02-17;64723.427
2024-02-18;62479.32
2024-02-19;75931.279
2024-02-20;71893.968
2024-02-21;68192.656
2024-02-22;67710.463
2024-02-23;65365.592
2024-02-24;61336.86
2024-02-25;65528.485
2024-02-26;82642.716
2024-02-27;89312.549
2024-02-28;81110.565
2024-03-01;68516.974
2024-03-02;58398.69
2024-03-03;63882.485
2024-03-04;75522.497
2024-03-05;90926.896
2024-03-06;98703.038
2024-03-07;97678.884
2024-03-08;80924.87
2024-03-09;67650.921
2024-03-10;74430.98
2024-03-11;86150.08
2024-03-12;87413.597
2024-03-13;73496.037
2024-03-14;64982.977
2024-03-15;56894.679
2024-03-16;57077.189
2024-03-17;68412.286
2024-03-18;84114.62
2024-03-19;80759.294
2024-03-20;75763.507
2024-03-21;71562.341
2024-03-22;61007.375
2024-03-23;51746.079
2024-03-24;54801.087
2024-03-25;75728.26
2024-03-26;63057.56
2024-03-27;61894.422
2024-03-28;57057.076
2024-03-29;53891.045
2024-03-30;49892.261
2024-03-31;53350.165
2024-04-01;61304.778
2024-04-02;73811.428
2024-04-03;87625.245
2024-04-04;78509.694
2024-04-05;62827.833
2024-04-06;41232.192
2024-04-07;40189.23
2024-04-08;48944.216
2024-04-09;48517.158
2024-04-10;56293.355
2024-04-11;57914.629
2024-04-12;50104.04
2024-04-13;39020.686
2024-04-14;47990.966
2024-04-15;59940.686
2024-04-16;61072.202
2024-04-17;67359.159
2024-04-18;65103.388
2024-04-19;65551.931
2024-04-20;62036.368
2024-04-21;61904.113
2024-04-22;101382.909
2024-04-23;91300.519
2024-04-24;83826.031
2024-04-25;74793.903
2024-04-26;70464.435
2024-04-27;48086.25
2024-04-28;39180.036
2024-04-29;52301.611
2024-04-30;42420.813
2024-05-01;35187.93
2024-05-02;37780.73
2024-05-03;38303.257
2024-05-04;35219.176
2024-05-05;36649.486
2024-05-06;51854.333
2024-05-07;49216.796
2024-05-08;43052.437
2024-05-09;35812.478
2024-05-10;37973.865
2024-05-11;29723.034
2024-05-12;30161.134
2024-05-13;37536.735
2024-05-14;35410.894
2024-05-15;34302.119
2024-05-16;35797.967
2024-05-17;33062.103
2024-05-18;26703.779
2024-05-19;25006.523
2024-05-20;29790.814
2024-05-21;36972.627
2024-05-22;38780.407
2024-05-23;38666.995
2024-05-24;33665.633
2024-05-25;26554.169
2024-05-26;26307.062
2024-05-27;36100.836
2024-05-28;37765.4
2024-05-29;39735.787
2024-05-30;37687.768
2024-05-31;31191.546
2024-06-01;23822.383
2024-06-02;24376.278
2024-06-03;38862.848
2024-06-04;36353.064
2024-06-05;33921.627
2024-06-06;40328.306
2024-06-07;35119.26
2024-06-08;31339.069
2024-06-09;37593.169
2024-06-10;47865.231
2024-06-11;49853.463
2024-06-12;55675.982
2024-06-13;50902.155
2024-06-14;37028.698
2024-06-15;29099.918
2024-06-16;32012.323
2024-06-17;37935.97
2024-06-18;39773.961
2024-06-19;40941.033
2024-06-20;47476.572
2024-06-21;34067.663
2024-06-22;28211.706
2024-06-23;32015.811
2024-06-24;47435.431
2024-06-25;41734.426
2024-06-26;32187.481
2024-06-27;32915.167
2024-06-28;29187.098
2024-06-29;22551.533
2024-06-30;26372.414
2024-07-01;35496.26
2024-07-02;36490.959
2024-07-03;36409.732
2024-07-04;35094.92
2024-07-05;32455.832
2024-07-06;25675.689
2024-07-07;26317.138
2024-07-08;33735.918
2024-07-09;31574.288
2024-07-10;31467.248
2024-07-11;29743.262
2024-07-12;26380.709
2024-07-13;21933.44
2024-07-14;20399.769
2024-07-15;26502.051
2024-07-16;25076.346
2024-07-17;24586.27
2024-07-18;27438.124
2024-07-19;22607.679
2024-07-20;18759.802
2024-07-21;19870.819
2024-07-22;23164.107
2024-07-23;25807.374
2024-07-24;23098.861
2024-07-25;23332.915
2024-07-26;22310.066
2024-07-27;18729.248
2024-07-28;19534.409
2024-07-29;26323.873
2024-07-30;26812.356
2024-07-31;26759.785
2024-08-01;27549.577
2024-08-02;27558.17
2024-08-03;20672.031
2024-08-04;22505.478
2024-08-05;31133.03
2024-08-06;33266.296
2024-08-07;32827.411
2024-08-08;33055.793
2024-08-09;27591.564
2024-08-10;23264.084
2024-08-11;25103.339
2024-08-12;34981.599
2024-08-13;36683.028
2024-08-14;37978.47
2024-08-15;34860.777
2024-08-16;31680.306
2024-08-17;25581.971
2024-08-18;27972.91
2024-08-19;36831.445
2024-08-20;34974.785
2024-08-21;37532.511
2024-08-22;36676.131
2024-08-23;33034.774
2024-08-24;24346.536
2024-08-25;25922.144
2024-08-26;37695.946
2024-08-27;35682.279
2024-08-28;35045.326
2024-08-29;37832.985
2024-08-30;32868.903
2024-08-31;30010.913
2024-09-01;30286.719
2024-09-02;38472.674
2024-09-03;42152.39
2024-09-04;43337.139
2024-09-05;36974.33
2024-09-06;31917.255
2024-09-07;24736.025
2024-09-08;23864.498
2024-09-09;36538.621
2024-09-10;39697.987
2024-09-11;44951.204
2024-09-12;41282.946
2024-09-13;39429.472
2024-09-14;31755.145
2024-09-15;37497.743
2024-09-16;49522.797
2024-09-17;40133.415
2024-09-18;37959.017
2024-09-19;36938.05
2024-09-20;34657.751
2024-09-21;28605.107
2024-09-22;31467.784
2024-09-23;48945.321
2024-09-24;40590.964
2024-09-25;44940.59
2024-09-26;45286.37
2024-09-27;43461.05
2024-09-28;42409.577
2024-09-29;41900.972
2024-09-30;48002.635
2024-10-01;55060.257
2024-10-02;59326.228
2024-10-03;56924.61
2024-10-04;58063.021
2024-10-05;49127.043
2024-10-06;48447.745
2024-10-07;57946.088
2024-10-08;53644.293
2024-10-09;49091.731
2024-10-10;52994.853
2024-10-11;55628.179
2024-10-12;42569.261
2024-10-13;43119.031
2024-10-14;66736.052
2024-10-15;65585.839
2024-10-16;52750.369
2024-10-17;53148.183
2024-10-18;50449.063
2024-10-19;42798.899
2024-10-20;37845.796
2024-10-21;50177.543
2024-10-22;53683.585
2024-10-23;58289.125
2024-10-24;57378.59
2024-10-25;55730.885
2024-10-26;49807.098
2024-10-27;51304.072
2024-10-28;59969.744
2024-10-29;59254.191
2024-10-30;56977.134
2024-10-31;52827.858
2024-11-01;50430.276
2024-11-02;58227.927
2024-11-03;52608.86
2024-11-04;65786.302
2024-11-05;78165.698
2024-11-06;94215.35
2024-11-07;86268.028
2024-11-08;68937.662
2024-11-09;64435.673
2024-11-10;66269.919
2024-11-11;73927.825
2024-11-12;93664.357
2024-11-13;83038.712
2024-11-14;72049.572
2024-11-15;58624.4
2024-11-16;48758.795
2024-11-17;53062.158
2024-11-18;77847.188
2024-11-19;100296.173
2024-11-20;113234.011
2024-11-21;122855.01
2024-11-22;109879.622
2024-11-23;73709.592
2024-11-24;54494.432
2024-11-25;59845.527
2024-11-26;70114.978
2024-11-27;78699.69
2024-11-28;84471.656
2024-11-29;99777.384
2024-11-30;76430.296
2024-12-01;59187.115
2024-12-02;78128.6
2024-12-03;97115.62
2024-12-04;115550.777
2024-12-05;88925.799
2024-12-06;82187.129
2024-12-07;60075.574
2024-12-08;64759.87
2024-12-09;97744.876
2024-12-10;115771.476
2024-12-11;148375.409
2024-12-12;137054.96
2024-12-13;104931.178
2024-12-14;72138.934
2024-12-15;64889.829
2024-12-16;74489.804
2024-12-17;80460.719
2024-12-18;71089.442
2024-12-19;71403.738
2024-12-20;70244.286
2024-12-21;56577.253
2024-12-22;59179.774
2024-12-23;67035.827
2024-12-24;74624.414
2024-12-25;62407.138
