GasDay;NG Demand DK MWh
2022-01-01;57801.083
2022-01-02;58509.475
2022-01-03;76027.895
2022-01-04;99971.457
2022-01-05;102787.131
2022-01-06;118915.138
2022-01-07;105876.969
2022-01-08;90555.773
2022-01-09;98215.637
2022-01-10;121533.104
2022-01-11;111786.529
2022-01-12;95076.591
2022-01-13;77262.427
2022-01-14;83061.057
2022-01-15;95400.103
2022-01-16;74793.417
2022-01-17;90372.303
2022-01-18;103482.57
2022-01-19;89868.029
2022-01-20;105915.787
2022-01-21;108009.004
2022-01-22;92199.892
2022-01-23;77488.469
2022-01-24;91443.291
2022-01-25;107387.146
2022-01-26;91734.848
2022-01-27;92418.464
2022-01-28;102722.752
2022-01-29;84035.664
2022-01-30;94225.451
2022-01-31;123374.964
2022-02-01;98515.926
2022-02-02;101692.393
2022-02-03;96063.964
2022-02-04;84407.987
2022-02-05;75577.639
2022-02-06;81696.498
2022-02-07;94277.013
2022-02-08;83945.177
2022-02-09;88367.765
2022-02-10;99752.006
2022-02-11;106032.076
2022-02-12;81248.148
2022-02-13;76851.419
2022-02-14;79497.911
2022-02-15;83001.111
2022-02-16;79034.277
2022-02-17;82389.717
2022-02-18;84837.915
2022-02-19;74789.357
2022-02-20;76808.006
2022-02-21;91431.524
2022-02-22;98694.461
2022-02-23;91843.826
2022-02-24;91294.856
2022-02-25;81608.455
2022-02-26;98045.468
2022-02-27;92923.1
2022-02-28;100218.049
2022-03-01;119690.273
2022-03-02;115098.28
2022-03-03;106056.028
2022-03-04;103487.255
2022-03-05;96724.862
2022-03-06;92779.69
2022-03-07;100998.231
2022-03-08;96685.248
2022-03-09;95117.015
2022-03-10;78208.664
2022-03-11;70833.914
2022-03-12;62613.998
2022-03-13;60440.339
2022-03-14;79094.216
2022-03-15;91794.002
2022-03-16;81192.513
2022-03-17;81972.578
2022-03-18;79693.257
2022-03-19;55061.672
2022-03-20;60291.24
2022-03-21;75148.619
2022-03-22;77435.939
2022-03-23;78127.365
2022-03-24;73637.619
2022-03-25;56059.548
2022-03-26;49435.719
2022-03-27;55307.898
2022-03-28;64164.273
2022-03-29;85286.058
2022-03-30;94366.709
2022-03-31;84251.68
2022-04-01;78630.6
2022-04-02;74822.421
2022-04-03;64336.621
2022-04-04;73837.459
2022-04-05;76154.283
2022-04-06;77528.194
2022-04-07;70193.318
2022-04-08;69358.782
2022-04-09;59035.304
2022-04-10;61879.198
2022-04-11;79675.756
2022-04-12;65806.913
2022-04-13;62504.911
2022-04-14;53945.819
2022-04-15;60956.746
2022-04-16;51444.122
2022-04-17;43663.476
2022-04-18;47498.674
2022-04-19;57544.551
2022-04-20;60560.628
2022-04-21;53507.036
2022-04-22;44401.821
2022-04-23;37056.817
2022-04-24;43648.484
2022-04-25;58695.942
2022-04-26;57518.715
2022-04-27;59666.925
2022-04-28;55009.504
2022-04-29;54359.695
2022-04-30;44724.161
2022-05-01;47241.606
2022-05-02;52736.514
2022-05-03;53468.213
2022-05-04;51525.683
2022-05-05;54668.32
2022-05-06;47649.863
2022-05-07;38021.945
2022-05-08;40846.43
2022-05-09;46078.559
2022-05-10;47116.715
2022-05-11;47207.133
2022-05-12;47815.589
2022-05-13;38736.224
2022-05-14;39572.328
2022-05-15;37419.155
2022-05-16;45292.468
2022-05-17;47552.136
2022-05-18;42925.923
2022-05-19;44285.823
2022-05-20;40363.646
2022-05-21;33920.779
2022-05-22;33212.711
2022-05-23;37031.978
2022-05-24;39839.097
2022-05-25;39277.971
2022-05-26;33593.507
2022-05-27;36317.142
2022-05-28;32397.158
2022-05-29;33558.732
2022-05-30;46230.909
2022-05-31;49153.361
2022-06-01;47079.99
2022-06-02;47008.324
2022-06-03;50943.923
2022-06-04;34201.625
2022-06-05;29266.747
2022-06-06;33412.902
2022-06-07;45904.861
2022-06-08;45650.028
2022-06-09;39721.614
2022-06-10;40344.716
2022-06-11;31190.114
2022-06-12;31866.294
2022-06-13;41148.198
2022-06-14;44230.298
2022-06-15;42150.416
2022-06-16;44170.019
2022-06-17;36484.564
2022-06-18;28303.394
2022-06-19;37421.023
2022-06-20;42838.918
2022-06-21;41993.473
2022-06-22;44300.801
2022-06-23;37176.852
2022-06-24;33777.23
2022-06-25;26293.567
2022-06-26;27770.92
2022-06-27;37831.318
2022-06-28;36049.284
2022-06-29;34533.506
2022-06-30;34302.773
2022-07-01;30611.302
2022-07-02;24944.61
2022-07-03;28548.329
2022-07-04;33809.011
2022-07-05;38566.465
2022-07-06;35310.124
2022-07-07;31937.613
2022-07-08;30267.421
2022-07-09;23885.31
2022-07-10;25699.279
2022-07-11;34226.725
2022-07-12;35598.573
2022-07-13;39824.024
2022-07-14;35624.024
2022-07-15;26664.572
2022-07-16;23734.002
2022-07-17;25839.5
2022-07-18;26152.374
2022-07-19;23446.483
2022-07-20;21290.231
2022-07-21;22860.475
2022-07-22;26228.435
2022-07-23;21491.952
2022-07-24;19066.734
2022-07-25;22786.946
2022-07-26;26367.917
2022-07-27;27029.048
2022-07-28;28800.627
2022-07-29;24830.215
2022-07-30;20289.464
2022-07-31;19652.181
2022-08-01;27488.473
2022-08-02;29077.535
2022-08-03;26562.796
2022-08-04;27051.608
2022-08-05;27062.508
2022-08-06;22507.862
2022-08-07;24372.317
2022-08-08;33000.284
2022-08-09;33843.521
2022-08-10;33031.638
2022-08-11;33476.805
2022-08-12;27722.123
2022-08-13;20430.863
2022-08-14;23190.623
2022-08-15;29184.791
2022-08-16;31336.889
2022-08-17;32360.017
2022-08-18;32305.548
2022-08-19;31117.25
2022-08-20;22774.171
2022-08-21;23147.681
2022-08-22;33958.52
2022-08-23;32815.559
2022-08-24;33302.581
2022-08-25;32586.367
2022-08-26;31232.146
2022-08-27;22335.324
2022-08-28;21708.273
2022-08-29;31428.458
2022-08-30;32468.127
2022-08-31;32611.846
2022-09-01;33603.171
2022-09-02;29609.856
2022-09-03;24581.707
2022-09-04;23958.051
2022-09-05;31892.758
2022-09-06;31676.116
2022-09-07;32220.069
2022-09-08;33203.704
2022-09-09;31142.648
2022-09-10;24162.733
2022-09-11;25069.574
2022-09-12;36085.742
2022-09-13;37362.578
2022-09-14;40629.72
2022-09-15;36405.903
2022-09-16;33720.154
2022-09-17;25640.868
2022-09-18;27941.745
2022-09-19;36156.62
2022-09-20;43287.212
2022-09-21;41096.327
2022-09-22;40680.801
2022-09-23;36404.059
2022-09-24;28427.849
2022-09-25;29738.202
2022-09-26;39312.983
2022-09-27;44109.133
2022-09-28;47303.386
2022-09-29;48045.723
2022-09-30;41749.365
2022-10-01;32061.485
2022-10-02;30758.175
2022-10-03;42210.182
2022-10-04;41566.429
2022-10-05;37066.329
2022-10-06;37152.762
2022-10-07;33246.446
2022-10-08;29090.443
2022-10-09;34252.808
2022-10-10;46616.514
2022-10-11;47825.491
2022-10-12;51328.762
2022-10-13;47245.587
2022-10-14;49421.133
2022-10-15;32606.56
2022-10-16;32304.156
2022-10-17;46525.468
2022-10-18;48447.592
2022-10-19;57934.659
2022-10-20;52652.78
2022-10-21;51199.079
2022-10-22;38427.683
2022-10-23;37049.352
2022-10-24;43193.204
2022-10-25;50378.426
2022-10-26;50997.14
2022-10-27;47259.386
2022-10-28;38151.061
2022-10-29;38273.701
2022-10-30;38208.468
2022-10-31;49104.373
2022-11-01;45747.81
2022-11-02;52789.692
2022-11-03;53195.296
2022-11-04;52717.594
2022-11-05;45365.305
2022-11-06;42627.317
2022-11-07;48344.965
2022-11-08;44767.39
2022-11-09;49128.091
2022-11-10;46573.369
2022-11-11;41699.924
2022-11-12;42393.98
2022-11-13;40930.804
2022-11-14;55221.365
2022-11-15;52376.727
2022-11-16;54883.303
2022-11-17;61160.555
2022-11-18;62520.858
2022-11-19;72689.59
2022-11-20;74248.605
2022-11-21;91475.969
2022-11-22;85910.561
2022-11-23;72581.727
2022-11-24;75304.534
2022-11-25;64958.389
2022-11-26;56769.435
2022-11-27;50356.107
2022-11-28;66270.176
2022-11-29;81207.002
2022-11-30;88892.529
2022-12-01;91966.294
2022-12-02;80242.246
2022-12-03;76006.389
2022-12-04;74585.248
2022-12-05;96809.534
2022-12-06;98927.787
2022-12-07;104319.115
2022-12-08;115618.336
2022-12-09;107602.436
2022-12-10;97353.76
2022-12-11;108668.127
2022-12-12;127970.633
2022-12-13;123718.404
2022-12-14;126301.808
2022-12-15;138421.925
2022-12-16;149151.867
2022-12-17;101007.922
2022-12-18;90479.19
2022-12-19;90402.397
2022-12-20;70717.936
2022-12-21;74764.442
2022-12-22;70668.808
2022-12-23;76935.453
2022-12-24;68578.002
2022-12-25;51710.694
2022-12-26;53905.75
2022-12-27;65876.63
2022-12-28;56152.461
2022-12-29;52561.106
2022-12-30;54006.19
2022-12-31;45272.317
