GasDay;NG Demand DK MWh
2025-01-01 00:00:00+00:00;55921.507
2025-01-02 00:00:00+00:00;93071.382
2025-01-03 00:00:00+00:00;103741.502
2025-01-04 00:00:00+00:00;123914.397
2025-01-05 00:00:00+00:00;99504.72
2025-01-06 00:00:00+00:00;88799.254
2025-01-07 00:00:00+00:00;92995.203
2025-01-08 00:00:00+00:00;112889.868
2025-01-09 00:00:00+00:00;128049.289
2025-01-10 00:00:00+00:00;116612.22
2025-01-11 00:00:00+00:00;105909.037
2025-01-12 00:00:00+00:00;127212.517
2025-01-13 00:00:00+00:00;114532.845
2025-01-14 00:00:00+00:00;80732.834
2025-01-15 00:00:00+00:00;115237.485
2025-01-16 00:00:00+00:00;95984.786
2025-01-17 00:00:00+00:00;93648.514
2025-01-18 00:00:00+00:00;79799.355
2025-01-19 00:00:00+00:00;110179.226
2025-01-20 00:00:00+00:00;139646.871
2025-01-21 00:00:00+00:00;125959.242
2025-01-22 00:00:00+00:00;117763.337
2025-01-23 00:00:00+00:00;99140.201
2025-01-24 00:00:00+00:00;74028.327
2025-01-25 00:00:00+00:00;72159.692
2025-01-26 00:00:00+00:00;86770.728
2025-01-27 00:00:00+00:00;76304.895
2025-01-28 00:00:00+00:00;75622.242
2025-01-29 00:00:00+00:00;79090.118
2025-01-30 00:00:00+00:00;85206.739
2025-01-31 00:00:00+00:00;94949.527
2025-02-01 00:00:00+00:00;84892.96
2025-02-02 00:00:00+00:00;94843.062
2025-02-03 00:00:00+00:00;118496.431
2025-02-04 00:00:00+00:00;99128.563
2025-02-05 00:00:00+00:00;88514.957
2025-02-06 00:00:00+00:00;98183.225
2025-02-07 00:00:00+00:00;87409.823
2025-02-08 00:00:00+00:00;85627.453
2025-02-09 00:00:00+00:00;85291.473
2025-02-10 00:00:00+00:00;99633.215
2025-02-11 00:00:00+00:00;97044.097
2025-02-12 00:00:00+00:00;117801.898
2025-02-13 00:00:00+00:00;128337.9
2025-02-14 00:00:00+00:00;120735.117
2025-02-15 00:00:00+00:00;116280.125
2025-02-16 00:00:00+00:00;131774.9
2025-02-17 00:00:00+00:00;139697.419
2025-02-18 00:00:00+00:00;127470.113
2025-02-19 00:00:00+00:00;115743.329
2025-02-20 00:00:00+00:00;92651.814
2025-02-21 00:00:00+00:00;95989.885
2025-02-22 00:00:00+00:00;63948.551
2025-02-23 00:00:00+00:00;55566.493
2025-02-24 00:00:00+00:00;68835.437
2025-02-25 00:00:00+00:00;78323.247
2025-02-26 00:00:00+00:00;81948.756
2025-02-27 00:00:00+00:00;86729.191
2025-02-28 00:00:00+00:00;90936.959
2025-03-01 00:00:00+00:00;73086.38
2025-03-02 00:00:00+00:00;53576.284
2025-03-03 00:00:00+00:00;62227.142
2025-03-04 00:00:00+00:00;62673.72
2025-03-05 00:00:00+00:00;59992.385
2025-03-06 00:00:00+00:00;59494.718
2025-03-07 00:00:00+00:00;56491.181
2025-03-08 00:00:00+00:00;42928.768
2025-03-09 00:00:00+00:00;47535.13
2025-03-10 00:00:00+00:00;64790.597
2025-03-11 00:00:00+00:00;78255.199
2025-03-12 00:00:00+00:00;79174.558
2025-03-13 00:00:00+00:00;87110.702
2025-03-14 00:00:00+00:00;95091.557
2025-03-15 00:00:00+00:00;73820.576
2025-03-16 00:00:00+00:00;65537.37
2025-03-17 00:00:00+00:00;83346.02
2025-03-18 00:00:00+00:00;80333.715
2025-03-19 00:00:00+00:00;75636.189
2025-03-20 00:00:00+00:00;63860.77
2025-03-21 00:00:00+00:00;54691.429
2025-03-22 00:00:00+00:00;46088.335
2025-03-23 00:00:00+00:00;53777.128
2025-03-24 00:00:00+00:00;63795.541
2025-03-25 00:00:00+00:00;67335.436
2025-03-26 00:00:00+00:00;59180.376
2025-03-27 00:00:00+00:00;56810.054
2025-03-28 00:00:00+00:00;50726.98
2025-03-29 00:00:00+00:00;41611.957
2025-03-30 00:00:00+00:00;45926.682
2025-03-31 00:00:00+00:00;57941.119
2025-04-01 00:00:00+00:00;54911.792
2025-04-02 00:00:00+00:00;50312.412
2025-04-03 00:00:00+00:00;47395.091
2025-04-04 00:00:00+00:00;42915.919
2025-04-05 00:00:00+00:00;41640.808
2025-04-06 00:00:00+00:00;45232.835
2025-04-07 00:00:00+00:00;54310.074
2025-04-08 00:00:00+00:00;54279.546
2025-04-09 00:00:00+00:00;53866.852
2025-04-10 00:00:00+00:00;49955.087
2025-04-11 00:00:00+00:00;45653.908
2025-04-12 00:00:00+00:00;37891.569
2025-04-13 00:00:00+00:00;38586.262
2025-04-14 00:00:00+00:00;51200.246
2025-04-15 00:00:00+00:00;43994.018
2025-04-16 00:00:00+00:00;36165.882
2025-04-17 00:00:00+00:00;35689.295
2025-04-18 00:00:00+00:00;38948.378
2025-04-19 00:00:00+00:00;40318.097
2025-04-20 00:00:00+00:00;41729.177
2025-04-21 00:00:00+00:00;43439.274
2025-04-22 00:00:00+00:00;52651.377
2025-04-23 00:00:00+00:00;52363.664
2025-04-24 00:00:00+00:00;47391.788
2025-04-25 00:00:00+00:00;42414.943
2025-04-26 00:00:00+00:00;33647.26
2025-04-27 00:00:00+00:00;36199.743
2025-04-28 00:00:00+00:00;41579.089
2025-04-29 00:00:00+00:00;40776.965
2025-04-30 00:00:00+00:00;39499.792
2025-05-01 00:00:00+00:00;31820.291
2025-05-02 00:00:00+00:00;34156.572
2025-05-03 00:00:00+00:00;34426.939
2025-05-04 00:00:00+00:00;36910.433
2025-05-05 00:00:00+00:00;44475.138
2025-05-06 00:00:00+00:00;43718.442
2025-05-07 00:00:00+00:00;42768.948
2025-05-08 00:00:00+00:00;43017.252
2025-05-09 00:00:00+00:00;36541.866
2025-05-10 00:00:00+00:00;32319.594
2025-05-11 00:00:00+00:00;32829.34
2025-05-12 00:00:00+00:00;39839.194
2025-05-13 00:00:00+00:00;39329.838
2025-05-14 00:00:00+00:00;39676.555
2025-05-15 00:00:00+00:00;39778.341
2025-05-16 00:00:00+00:00;34299.525
2025-05-17 00:00:00+00:00;28483.62
2025-05-18 00:00:00+00:00;30861.099
2025-05-19 00:00:00+00:00;36449.298
2025-05-20 00:00:00+00:00;36182.731
2025-05-21 00:00:00+00:00;39646.309
2025-05-22 00:00:00+00:00;43530.355
2025-05-23 00:00:00+00:00;39725.299
2025-05-24 00:00:00+00:00;30026.163
2025-05-25 00:00:00+00:00;32788.006
2025-05-26 00:00:00+00:00;37877.737
2025-05-27 00:00:00+00:00;37515.504
2025-05-28 00:00:00+00:00;36332.715
2025-05-29 00:00:00+00:00;27818.495
2025-05-30 00:00:00+00:00;28534.15
2025-05-31 00:00:00+00:00;27144.615
2025-06-01 00:00:00+00:00;27211.609
2025-06-02 00:00:00+00:00;40277.206
2025-06-03 00:00:00+00:00;38228.307
2025-06-04 00:00:00+00:00;35049.453
2025-06-05 00:00:00+00:00;31382.734
2025-06-06 00:00:00+00:00;31673.817
2025-06-07 00:00:00+00:00;26149.769
2025-06-08 00:00:00+00:00;27089.334
2025-06-09 00:00:00+00:00;33933.037
2025-06-10 00:00:00+00:00;44969.648
2025-06-11 00:00:00+00:00;42487.81
2025-06-12 00:00:00+00:00;37091.688
2025-06-13 00:00:00+00:00;31738.579
2025-06-14 00:00:00+00:00;26636.373
2025-06-15 00:00:00+00:00;27028.452
2025-06-16 00:00:00+00:00;33867.159
2025-06-17 00:00:00+00:00;34308.94
2025-06-18 00:00:00+00:00;35529.552
2025-06-19 00:00:00+00:00;35177.635
2025-06-20 00:00:00+00:00;32065.591
2025-06-21 00:00:00+00:00;24280.941
2025-06-22 00:00:00+00:00;27743.496
2025-06-23 00:00:00+00:00;35367.691
2025-06-24 00:00:00+00:00;37653.584
2025-06-25 00:00:00+00:00;35677.657
2025-06-26 00:00:00+00:00;33263.637
2025-06-27 00:00:00+00:00;29650.394
2025-06-28 00:00:00+00:00;21841.462
2025-06-29 00:00:00+00:00;25461.901
2025-06-30 00:00:00+00:00;158279.525
2025-07-01 00:00:00+00:00;164077.325
2025-07-02 00:00:00+00:00;31946.98
2025-07-03 00:00:00+00:00;30966.625
2025-07-04 00:00:00+00:00;27360.575
2025-07-05 00:00:00+00:00;21759.389
2025-07-06 00:00:00+00:00;22183.481
2025-07-07 00:00:00+00:00;30887.839
2025-07-08 00:00:00+00:00;32317.544
2025-07-09 00:00:00+00:00;32550.719
2025-07-10 00:00:00+00:00;29009.009
2025-07-11 00:00:00+00:00;26749.189
2025-07-12 00:00:00+00:00;19177.029
2025-07-13 00:00:00+00:00;18358.462
2025-07-14 00:00:00+00:00;24231.596
2025-07-15 00:00:00+00:00;25710.778
2025-07-16 00:00:00+00:00;24256.608
2025-07-17 00:00:00+00:00;21805.699
2025-07-18 00:00:00+00:00;21653.273
2025-07-19 00:00:00+00:00;16332.203
2025-07-20 00:00:00+00:00;15815.903
2025-07-21 00:00:00+00:00;21263.185
2025-07-22 00:00:00+00:00;22002.844
2025-07-23 00:00:00+00:00;22969.293
2025-07-24 00:00:00+00:00;23885.38
2025-07-25 00:00:00+00:00;22796.91
2025-07-26 00:00:00+00:00;17948.904
2025-07-27 00:00:00+00:00;17471.628
2025-07-28 00:00:00+00:00;23323.285
2025-07-29 00:00:00+00:00;25186.978
2025-07-30 00:00:00+00:00;26070.639
2025-07-31 00:00:00+00:00;25269.255
2025-08-01 00:00:00+00:00;24350.247
2025-08-02 00:00:00+00:00;19638.314
2025-08-03 00:00:00+00:00;21468.138
2025-08-04 00:00:00+00:00;29079.768
2025-08-05 00:00:00+00:00;30994.798
2025-08-06 00:00:00+00:00;31968.131
2025-08-07 00:00:00+00:00;30945.418
2025-08-08 00:00:00+00:00;26531.718
2025-08-09 00:00:00+00:00;21223.982
2025-08-10 00:00:00+00:00;25781.954
2025-08-11 00:00:00+00:00;31857.51
2025-08-12 00:00:00+00:00;33223.241
2025-08-13 00:00:00+00:00;32341.174
2025-08-14 00:00:00+00:00;33031.575
2025-08-15 00:00:00+00:00;26786.619
2025-08-16 00:00:00+00:00;22154.505
2025-08-17 00:00:00+00:00;24636.25
2025-08-18 00:00:00+00:00;31420.402
2025-08-19 00:00:00+00:00;32771.751
2025-08-20 00:00:00+00:00;33920.289
2025-08-21 00:00:00+00:00;34570.372
2025-08-22 00:00:00+00:00;29875.663
2025-08-23 00:00:00+00:00;25594.139
2025-08-24 00:00:00+00:00;25706.394
2025-08-25 00:00:00+00:00;38095.341
2025-08-26 00:00:00+00:00;36088.973
2025-08-27 00:00:00+00:00;34706.424
2025-08-28 00:00:00+00:00;34209.242
2025-08-29 00:00:00+00:00;34999.367
2025-08-30 00:00:00+00:00;25725.509
2025-08-31 00:00:00+00:00;26249.986
2025-09-01 00:00:00+00:00;35293.852
2025-09-02 00:00:00+00:00;35259.882
2025-09-03 00:00:00+00:00;34053.867
2025-09-04 00:00:00+00:00;36250.955
2025-09-05 00:00:00+00:00;32510.41
2025-09-06 00:00:00+00:00;28346.816
2025-09-07 00:00:00+00:00;28697.092
2025-09-08 00:00:00+00:00;37283.101
2025-09-09 00:00:00+00:00;36549.68
2025-09-10 00:00:00+00:00;34464.898
2025-09-11 00:00:00+00:00;35602.473
2025-09-12 00:00:00+00:00;33542.437
2025-09-13 00:00:00+00:00;30997.707
2025-09-14 00:00:00+00:00;30095.938
2025-09-15 00:00:00+00:00;36689.058
2025-09-16 00:00:00+00:00;39924.076
2025-09-17 00:00:00+00:00;39344.249
2025-09-18 00:00:00+00:00;35892.141
2025-09-19 00:00:00+00:00;170488.456
2025-09-20 00:00:00+00:00;25607.685
2025-09-21 00:00:00+00:00;29904.606
2025-09-22 00:00:00+00:00;43565.788
2025-09-23 00:00:00+00:00;43202.41
2025-09-24 00:00:00+00:00;49183.795
2025-09-25 00:00:00+00:00;47375.261
2025-09-26 00:00:00+00:00;42606.14
2025-09-27 00:00:00+00:00;35755.672
2025-09-28 00:00:00+00:00;35900.741
2025-09-29 00:00:00+00:00;47565.09
2025-09-30 00:00:00+00:00;49145.586
2025-10-01 00:00:00+00:00;50286.384
2025-10-02 00:00:00+00:00;50550.238
2025-10-03 00:00:00+00:00;43721.908
2025-10-04 00:00:00+00:00;42832.701
2025-10-05 00:00:00+00:00;40969.597
2025-10-06 00:00:00+00:00;51427.14
2025-10-07 00:00:00+00:00;51285.978
2025-10-08 00:00:00+00:00;53881.748
2025-10-09 00:00:00+00:00;52540.494
2025-10-10 00:00:00+00:00;45286.293
2025-10-11 00:00:00+00:00;39555.707
2025-10-12 00:00:00+00:00;42578.683
2025-10-13 00:00:00+00:00;69661.079
2025-10-14 00:00:00+00:00;53049.509
2025-10-15 00:00:00+00:00;52919.717
2025-10-16 00:00:00+00:00;49599.03
2025-10-17 00:00:00+00:00;241420.12
2025-10-18 00:00:00+00:00;53801.288
2025-10-19 00:00:00+00:00;52304.176
2025-10-20 00:00:00+00:00;55662.118
2025-10-21 00:00:00+00:00;53416.369
2025-10-22 00:00:00+00:00;60240.722
2025-10-23 00:00:00+00:00;53141.283
2025-10-24 00:00:00+00:00;48063.436
2025-10-25 00:00:00+00:00;45568.117
2025-10-26 00:00:00+00:00;52747.473
2025-10-27 00:00:00+00:00;54444.198
2025-10-28 00:00:00+00:00;61243.276
2025-10-29 00:00:00+00:00;59822.693
2025-10-30 00:00:00+00:00;59279.91
2025-10-31 00:00:00+00:00;56678.825
2025-11-01 00:00:00+00:00;45717.248
2025-11-02 00:00:00+00:00;47514.169
2025-11-03 00:00:00+00:00;53873.391
2025-11-04 00:00:00+00:00;51672.713
2025-11-05 00:00:00+00:00;55330.962
2025-11-06 00:00:00+00:00;60457.104
2025-11-07 00:00:00+00:00;60942.281
2025-11-08 00:00:00+00:00;54934.658
2025-11-09 00:00:00+00:00;57125.255
2025-11-10 00:00:00+00:00;69352.732
2025-11-11 00:00:00+00:00;63032.493
2025-11-12 00:00:00+00:00;56833.597
2025-11-13 00:00:00+00:00;58977.282
2025-11-14 00:00:00+00:00;68014.268
2025-11-15 00:00:00+00:00;69344.34
2025-11-16 00:00:00+00:00;77630.86
2025-11-17 00:00:00+00:00;89136.198
2025-11-18 00:00:00+00:00;94052.317
2025-11-19 00:00:00+00:00;107625.802
2025-11-20 00:00:00+00:00;119446.914
2025-11-21 00:00:00+00:00;131625.647
2025-11-22 00:00:00+00:00;79604.491
2025-11-23 00:00:00+00:00;82434.166
2025-11-24 00:00:00+00:00;121015.216
2025-11-25 00:00:00+00:00;126370.422
2025-11-26 00:00:00+00:00;122788.54
2025-11-27 00:00:00+00:00;79964.999
2025-11-28 00:00:00+00:00;61017.714
2025-11-29 00:00:00+00:00;56289.123
2025-11-30 00:00:00+00:00;55640.574
2025-12-01 00:00:00+00:00;73198.487
2025-12-02 00:00:00+00:00;85275.403
2025-12-03 00:00:00+00:00;103952.788
2025-12-04 00:00:00+00:00;85630.476
2025-12-05 00:00:00+00:00;81417.062
2025-12-06 00:00:00+00:00;66264.282
2025-12-07 00:00:00+00:00;60434.624
2025-12-08 00:00:00+00:00;63000.131
2025-12-09 00:00:00+00:00;63344.247
2025-12-10 00:00:00+00:00;59295.758
2025-12-11 00:00:00+00:00;60368.369
2025-12-12 00:00:00+00:00;68888.257
2025-12-13 00:00:00+00:00;56725.124
2025-12-14 00:00:00+00:00;53388.297
2025-12-15 00:00:00+00:00;73529.475
2025-12-16 00:00:00+00:00;79358.35
2025-12-17 00:00:00+00:00;73223.026
2025-12-18 00:00:00+00:00;63021.221
2025-12-19 00:00:00+00:00;57039.013
2025-12-20 00:00:00+00:00;62322.488
2025-12-21 00:00:00+00:00;64390.865
2025-12-22 00:00:00+00:00;72146.135
2025-12-23 00:00:00+00:00;79342.017
2025-12-24 00:00:00+00:00;87793.78
2025-12-25 00:00:00+00:00;95937.13
2025-12-26 00:00:00+00:00;80369.083
2025-12-27 00:00:00+00:00;69430.173
2025-12-28 00:00:00+00:00;72013.422
2025-12-29 00:00:00+00:00;74176.421
2025-12-30 00:00:00+00:00;88916.858
2025-12-31 00:00:00+00:00;71238.357
